,Open,High,Low,Close,Volume
2017-01-03,112.0269711537883,112.70324815766705,111.67005036444199,112.28057861328125,22307600
2017-01-04,112.40266499881794,113.09773135478109,112.3932774395224,112.8910903930664,19749100
2017-01-05,112.80657217970962,113.60495199188128,112.80657217970962,113.52981567382812,20644300
2017-01-06,113.65190557471404,114.8259955083371,113.3607335643199,114.52542877197266,24074300
2017-01-09,114.61937668887988,115.10780220868034,114.54423319874479,114.90116119384766,18909200
2017-01-10,114.94808317336388,115.50225727555537,114.68508820937144,115.15472412109375,16176600
2017-01-11,115.2017190213685,115.46471405029297,114.60997304021137,115.46471405029297,20686000
2017-01-12,115.05142924531157,115.36139073587047,114.21547770973892,115.28624725341797,19622500
2017-01-13,115.34259426367505,115.87797896967395,115.34259426367505,115.68073272705078,16930800
2017-01-17,115.38017310816196,115.55863708759847,114.99507530094469,115.33321380615234,14538500
2017-01-18,115.50225968048447,115.68072362379893,115.2110877022981,115.56800842285156,12499700
2017-01-19,115.73708860140486,116.14097581878625,115.26745263543005,115.51166534423828,12710700
2017-01-20,116.01888198099046,116.31006119323283,115.45532017683186,115.7652816772461,22091000
2017-01-23,115.69013789589833,116.02827641074228,115.12657609318411,115.85920715332031,17434200
2017-01-24,116.08462734778367,116.81726555447374,115.88738108039374,116.63880157470703,17640900
2017-01-25,117.37142250480109,117.84105848177265,117.26810201658125,117.81288146972656,15036200
2017-01-26,117.9725540372722,118.17919501030543,117.72834132677146,117.93498229980469,16052200
2017-01-27,118.18859266169312,118.27312369853027,117.77531070539675,118.16041564941406,15053000
2017-01-30,117.76590389185496,117.76590389185496,116.59181406022668,117.23991394042969,25006700
2017-01-31,116.82664010504902,117.03328107627681,116.32882712858725,117.0051040649414,19091100
2017-02-01,117.83166375573185,118.04769945821234,117.27749674262205,117.81288146972656,22861900
2017-02-02,117.60624371793159,118.0664849814817,117.27749995825293,117.70956420898438,15101400
2017-02-03,117.8316632730139,118.16980174833428,117.7189552252913,118.04769897460938,16957200
2017-02-06,117.85044492109421,118.20736565870804,117.7377297147592,118.18858337402344,11630100
