,Open,High,Low,Close,Volume
2017-01-03,44.297634528554596,44.41994021745838,44.22119165049121,44.4046516418457,27938300
2017-01-04,44.641614052868306,44.93208820158417,44.603391161092375,44.909156799316406,25670000
2017-01-05,45.023816221634334,45.337224664801695,45.023816221634334,45.291358947753906,22063100
2017-01-06,45.07732595043379,45.18434304369152,45.03146023218172,45.13847732543945,22073700
2017-01-09,44.97031171974189,45.092617393535626,44.909157424846384,45.06968307495117,13962400
2017-01-10,45.03910864835135,45.19963722415107,45.03910864835135,45.07733154296875,16296600
2017-01-11,44.985595873632796,45.32958148092764,44.93208732538662,45.314292907714844,31352400
2017-01-12,45.3754519581885,45.3907405330043,45.18434914698723,45.383094787597656,25127300
2017-01-13,45.421314289980906,45.558908545881685,45.35252007802797,45.551265716552734,20901900
2017-01-17,45.41367193722925,45.43660334145421,45.30665482951614,45.383094787597656,22524800
2017-01-18,45.245489937535694,45.34486419257449,45.115541456020715,45.253135681152344,14581400
2017-01-19,45.17669729931763,45.23785159032038,45.000883086680346,45.13847732543945,17619300
2017-01-20,45.29900600798528,45.41366885331861,45.23785462887218,45.398380279541016,24974100
2017-01-23,45.33722442815062,45.513038635253906,45.23785016639763,45.513038635253906,43093600
2017-01-24,45.43659801685764,45.650635123198896,45.421309443833465,45.62770080566406,18176000
2017-01-25,45.87231310974221,46.116927367292,45.85702745239273,46.10163879394531,27237600
2017-01-26,46.0099070818903,46.05577280165924,45.85702718132154,45.91817855834961,20838800
2017-01-27,45.87995581267797,45.9028872131791,45.757650150010264,45.84173583984375,13061000
2017-01-30,45.44424151803984,45.54361577979283,45.29900153947847,45.513038635253906,19146200
2017-01-31,45.597125273026876,45.66592239167173,45.398376745387495,45.58183670043945,29996800
2017-02-01,45.86466738381532,45.88759878438818,45.6429874582876,45.76529312133789,26726400
2017-02-02,45.81115466508537,45.85702037804975,45.65827187120087,45.78822326660156,14796700
2017-02-03,45.87232066117535,46.002272098016,45.81116927371916,45.97169494628906,13963800
2017-02-06,45.497741632559965,45.64297866821289,45.46716449368678,45.64297866821289,16220200
2017-02-07,45.54360602949915,45.62004595848466,45.50538314901002,45.59711456298828,12123000
2017-02-08,45.55126305149623,45.71943444686856,45.49775450133181,45.67356872558594,16749200
2017-02-09,45.73471749782814,45.87995455702209,45.67356321016947,45.86466598510742,14299600
2017-02-10,45.81116927371916,46.002272098016,45.79588069785569,45.97169494628906,13212100
2017-02-13,46.16279038119972,46.22394467486449,46.07870468540927,46.155147552490234,12694400
2017-02-14,45.99461804868413,46.08634948730469,45.803515258887046,46.08634948730469,14256600
2017-02-15,45.887602307482574,46.26216506958008,45.872313733927854,46.26216506958008,15460100
2017-02-16,46.27744644620965,46.36917495727539,46.2162921615013,46.36917495727539,14416500
2017-02-17,46.10928151912531,46.26216433625182,46.07106154384298,46.24687576293945,14938000
2017-02-21,46.20101645002295,46.39976501464844,46.185727874590405,46.39976501464844,11550300
2017-02-22,46.16279646944039,46.43034216551353,46.16279646944039,46.39976501464844,17129400
2017-02-23,46.53734640433629,46.57556637434641,46.37681786469893,46.49912643432617,12410600
2017-02-24,45.994613205982,46.19336171940345,45.97168180673985,46.162784576416016,16198700
2017-02-27,46.00990324193016,46.20100601768896,46.002260413938465,46.193363189697266,14039000
2017-02-28,46.10926892598036,46.26215170135225,46.04047182286283,46.12455749511719,20439100
2017-03-01,46.43797638353943,46.72080768659786,46.42268781094207,46.60614776611328,20198000
2017-03-02,46.407401619159046,46.46091016799638,46.292741692792134,46.300384521484375,16452800
2017-03-03,46.39975874779727,46.62908151631743,46.33096162564151,46.5755729675293,19149100
2017-03-06,46.42268262569742,46.43797119658709,46.30037697457673,46.430328369140625,10965800
2017-03-07,46.223943105508866,46.34624877268876,46.15514598547035,46.269805908203125,16308800
2017-03-08,46.23923303806829,46.28509584211115,46.05577307390525,46.10163879394531,11568200
2017-03-09,46.22394201564367,46.300381962329894,46.15514489722725,46.27745056152344,13369300
2017-03-10,46.59850786535892,46.72081354547807,46.514422163527485,46.66730499267578,18987900
2017-03-13,46.781958712032214,46.919552939808526,46.7743129682686,46.91190719604492,19718700
2017-03-14,46.56792848004872,46.60615137249833,46.46855712447214,46.552642822265625,15953500
2017-03-15,46.65201629323095,47.225324714003726,46.64437346399284,47.217681884765625,22841100
2017-03-16,47.46992618042677,47.492860495356204,47.339977698479466,47.44699478149414,24380100
2017-03-17,47.53108544569735,47.66103394126014,47.439356924359075,47.569305419921875,20697400
2017-03-20,47.58459157429796,47.65338869080429,47.40877736900332,47.46992874145508,13484400
2017-03-21,47.83684777301953,47.875067744608685,47.2253165636053,47.25589370727539,23331500
2017-03-22,47.10301742151195,47.30940879584347,47.06479744463515,47.263545989990234,14492800
2017-03-23,47.18709593421936,47.46992721923272,47.18709593421936,47.37055587768555,25394800
2017-03-24,47.47757976671301,47.59988544121826,47.424071216366805,47.500511169433594,25264500
2017-03-27,47.46229233825164,47.6839722898911,47.40878378661417,47.62281799316406,30294500
2017-03-28,47.69160907003762,47.890357593194935,47.668677669672164,47.852134704589844,23196000
2017-03-29,47.61516912482142,47.875069020952296,47.60752338070161,47.852134704589844,19090800
2017-03-30,47.722179928511224,49.961904437091746,47.63809425025106,47.6839599609375,16049800
2017-03-31,47.47757148612902,47.66867425146298,47.43170577269002,47.61516571044922,30871700
2017-04-03,47.53872953001304,47.57695242124444,47.21003249420389,47.5463752746582,32855200
