,Open,High,Low,Close,Volume
2017-01-03,53.033544208817524,53.07627362902268,52.923667891553194,53.05186080932617,14050100
2017-01-04,53.10681650362597,53.34488117055225,53.10681650362597,53.338775634765625,11912400
2017-01-05,53.265531653167756,53.36319694696007,53.228903092980985,53.25942611694336,10458600
2017-01-06,53.204482023663935,53.277729818375825,53.13122957179317,53.24721145629883,6836400
2017-01-09,53.23499298095703,53.277722407648426,53.137327715873084,53.23499298095703,6648800
2017-01-10,53.296032332891514,53.36928477179554,53.21667901694735,53.24109649658203,11777000
2017-01-11,53.25939622217756,53.30212563744489,53.173937391642895,53.271602630615234,11914200
2017-01-12,53.25943031917335,53.28995334554402,53.1861778501797,53.28384780883789,12512300
2017-01-13,53.26553063868599,53.35098951556149,53.16786068959427,53.302154541015625,8861000
2017-01-17,53.2655234049768,53.28383535365477,53.19837648838499,53.24721145629883,8633000
2017-01-18,53.22888123778727,53.29602813720703,53.16783987208503,53.29602813720703,12715500
2017-01-19,53.25943119588723,53.28995422276035,53.070201469321994,53.12513732910156,10703200
2017-01-20,53.14343060870806,53.24110053465454,53.08849476823196,53.22888946533203,9262000
2017-01-23,53.186160037020045,53.24110053465454,53.13122419654395,53.22888946533203,13561300
2017-01-24,53.19837508834914,53.302145899565936,53.17395760503482,53.26552200317383,7490500
2017-01-25,53.350971638372485,53.454742431640625,53.31434309115707,53.454742431640625,8953900
2017-01-26,53.412008796161196,53.4669446269159,53.357072965406495,53.430320739746094,7443900
2017-01-27,53.38762258301615,53.52802199464818,53.381517045859894,53.47918701171875,7888100
2017-01-30,53.39984294970392,53.43646686469395,53.296067428630316,53.369319915771484,7637600
2017-01-31,53.344857877830904,53.3631698200357,53.21666962524012,53.314334869384766,12249400
2017-02-01,53.46273790680504,53.54244452629649,53.30946170331349,53.51178741455078,12489400
2017-02-02,53.505645229521214,53.56695944175132,53.42594330228679,53.54243469238281,10886200
2017-02-03,53.658927117818486,53.69571658459699,53.603749934077975,53.63440704345703,12674000
2017-02-06,53.64666378927999,53.66505618273174,53.55469714440336,53.59761428833008,7004900
2017-02-07,53.658936764662414,53.658936764662414,53.51179290394926,53.51792526245117,11170100
2017-02-08,53.51794084049177,53.56085800725959,53.413714103715684,53.554725646972656,11107300
2017-02-09,53.554710185005455,53.67120160872277,53.554710185005455,53.6282844543457,7292600
2017-02-10,53.65891815021721,53.677315219340976,53.585348584191635,53.6650505065918,5471800
2017-02-13,53.70795008387042,53.781524303455136,53.70181772950107,53.7447395324707,7477200
2017-02-14,53.73865708405753,53.806099011904784,53.62829799100023,53.78157424926758,8785000
2017-02-15,53.72639061926275,53.81222494689554,53.689605815311566,53.799964904785156,10582800
2017-02-16,53.744778076539696,54.00228101333544,53.652811405507165,53.75703811645508,8917800
2017-02-17,53.701835796521294,53.8244595370837,53.652790977913746,53.81219482421875,6247300
2017-02-21,53.812208347576366,53.990009307861335,53.812208347576366,53.99000930786133,10437800
2017-02-22,53.95934156454076,54.026783450260524,53.91642442613884,54.01451873779297,10963600
2017-02-23,54.13102527863166,54.137157636582934,54.00227382736648,54.06358337402344,8150200
2017-02-24,54.02066822892923,54.180076798249665,53.990011115653424,54.106502532958984,8390200
2017-02-27,54.10650066113935,54.17394256591797,54.06971586857596,54.17394256591797,5693300
2017-02-28,54.13714431933339,54.18006145919789,54.10035485829423,54.131011962890625,5868400
2017-03-01,54.29971435932071,54.37976441266231,54.29971435932071,54.33050537109375,10612100
2017-03-02,54.34285600213467,54.34285600213467,54.158119201660156,54.158119201660156,9193000
2017-03-03,54.2011890982292,54.244293697646214,54.0780344421946,54.182716369628906,15059300
2017-03-06,54.09654327125697,54.12117515851138,53.99802042029143,54.01033401489258,17066300
