,Open,High,Low,Close,Volume
2017-01-03,5.377159066916805,5.43877427573719,5.340190035641922,5.39810848236084,13486400
2017-01-04,5.407351847923552,5.474512212194892,5.407351847923552,5.4547953605651855,9744000
2017-01-05,5.4492497258978,5.523187795332151,5.4492497258978,5.515793800354004,9990400
2017-01-06,5.5268855818163365,5.641489939734579,5.499775202046929,5.612530708312988,13712000
2017-01-09,5.618692540385216,5.6692170062814355,5.6149953072115375,5.650115966796875,12824000
2017-01-10,5.651347682487442,5.706801470863132,5.6273177858724415,5.6747612953186035,11523200
2017-01-11,5.67352866496241,5.702487888954597,5.619306979160273,5.7012553215026855,19227200
2017-01-12,5.659974407493393,5.6920141165308715,5.580490713622123,5.684004306793213,15232000
2017-01-13,5.694478613396325,5.743770978243151,5.693246515814228,5.72467041015625,12737600
2017-01-17,5.691397560662969,5.711114410596729,5.656276907028245,5.6889328956604,10734400
2017-01-18,5.704952664800726,5.721589036488898,5.677226005436167,5.714811325073242,11449600
2017-01-19,5.724054499654984,5.765952871481424,5.683388225491,5.705569744110107,12588800
2017-01-20,5.756092660421788,5.7850518836063785,5.701871446218486,5.730830669403076,15254400
2017-01-23,5.7209738045773655,5.754246083984465,5.667984671086823,5.7394585609436035,12027200
2017-01-24,5.761021662871093,5.834959720777001,5.743769480698828,5.817707538604736,12608000
2017-01-25,5.888567220611117,5.93662702241661,5.881173224146089,5.933546543121338,12539200
2017-01-26,5.948949545178124,5.970514777675523,5.925535461249395,5.9427876472473145,11788800
2017-01-27,5.9674340900436285,5.97852484868325,5.931081335111266,5.965585708618164,9688000
2017-01-30,5.9267685329022015,5.9273843466782035,5.809699513563058,5.876244068145752,16958400
2017-01-31,5.834345598775416,5.853446167420261,5.783821134870631,5.851597785949707,14944000
2017-02-01,5.929232913600459,5.95326281214271,5.878092167436456,5.931081295013428,19384000
2017-02-02,5.910132137962581,5.953878890330893,5.8768598607908675,5.92060661315918,12419200
2017-02-03,5.934162396666473,5.964970010346746,5.921223255331183,5.951414585113525,13200000
2017-02-06,5.929231846544358,5.969281356849367,5.92368623321664,5.967432975769043,9465600
2017-02-07,5.9889995764746775,6.035210994410707,5.982221864237112,6.010565280914307,13507200
2017-02-08,5.993310979522195,6.046916378856566,5.971745751084249,6.033360958099365,9296000
2017-02-09,6.043836745153218,6.099906821375211,6.035826935730144,6.075260639190674,15824000
2017-02-10,6.096209575974288,6.130713946249022,6.080189488309537,6.114078044891357,17462400
2017-02-13,6.151046957339074,6.197874181751819,6.146117627373486,6.1837029457092285,14137600
2017-02-14,6.186167865762796,6.224368999354279,6.146734164585705,6.223136901855469,14966400
2017-02-15,6.212046810132453,6.30077288233834,6.207733763293936,6.29461145401001,14771200
2017-02-16,6.3038530379670945,6.32788293627525,6.260722571795233,6.292762279510498,16126400
2017-02-17,6.275509343229985,6.347599029541016,6.272428864635386,6.347599029541016,10902400
