,hedged
2018-10-15,97257.53851070623
2018-10-16,97460.82224002798
2018-10-17,97438.2292206243
2018-10-18,97264.72273690387
2018-10-19,96741.75592308336
2018-10-22,96940.62081993898
2018-10-23,96657.70414157862
2018-10-24,93805.071484968
2018-10-25,94794.4602742145
2018-10-26,94485.22474132197
2018-10-29,94469.43091619098
2018-10-30,94712.7031463997
2018-10-31,94846.0585264371
2018-11-01,95044.78183672173
2018-11-02,94930.10215185177
2018-11-05,95090.0800152217
2018-11-06,95224.91170956871
2018-11-07,95722.23401642051
2018-11-08,95688.92615598884
2018-11-09,95387.31932003671
2018-11-12,94862.57520158273
2018-11-13,94802.65903982292
2018-11-14,93855.86996711163
2018-11-15,94052.7539602901
2018-11-16,94112.02689092387
2018-11-19,93803.46325258094
2018-11-20,93435.06637843316
2018-11-21,93463.79097049883
2018-11-23,93339.61720531358
2018-11-26,93635.65450491365
2018-11-27,93722.05257622869
2018-11-28,94290.18247823305
2018-11-29,94237.6523743521
2018-11-30,94398.01950979346
2018-12-03,94747.20469740752
2018-12-04,93789.21064914104
2018-12-06,94748.16926855178
2018-12-07,92967.73403353147
2018-12-10,92908.62434266416
2018-12-11,92907.21081296478
2018-12-12,93004.00305966193
2018-12-13,92997.17966976918
2018-12-14,92607.35754303292
2018-12-17,92188.83264160463
2018-12-18,92178.50874897257
2018-12-19,91948.59937472195
2018-12-20,91692.44373629721
2018-12-21,91554.48602300459
2018-12-24,91356.0376269002
2018-12-26,91848.562893679
2018-12-27,91942.61001655455
2018-12-28,91909.3776147695
2018-12-31,92026.82107577215
2019-01-02,92107.77220006575
2019-01-03,91688.28541895618
2019-01-04,92277.70785427715
2019-01-07,92450.56285805495
2019-01-08,92663.98076658446
2019-01-09,92774.2502679777
2019-01-10,92860.2283433099
2019-01-11,92875.07133826363
2019-01-14,92387.3680589368
2019-01-15,93439.07481805574
2019-01-16,93445.97688500436
2019-01-17,93860.14660800945
2019-01-18,94413.5851789617
2019-01-22,93225.56972981377
2019-01-23,93304.61178991383
2019-01-24,93618.17502392334
2019-01-25,94270.72826655112
2019-01-28,93673.48800528391
2019-01-29,93178.30189766042
2019-01-30,94396.35914260986
2019-01-31,95146.68679031191
2019-02-01,94881.05108328532
2019-02-04,95590.19416374167
2019-02-05,96172.59787746523
2019-02-06,95972.12773771261
2019-02-07,95058.81763799617
2019-02-08,95115.11787785999
2019-02-11,95074.46106901711
2019-02-12,96038.0602994399
2019-02-13,96061.25505725786
2019-02-14,96148.99119827242
2019-02-15,96495.6790200106
2019-02-19,96678.62156963364
2019-02-20,96668.20171230797
2019-02-21,96357.36425497355
2019-02-22,96958.05388702126
2019-02-25,97264.97396335541
2019-02-26,97353.73930097245
2019-02-27,97241.40229442708
2019-02-28,97071.96675812638
2019-03-01,97558.68825905914
2019-03-04,97527.06518227495
2019-03-05,97586.07940317411
2019-03-06,97155.49448515331
2019-03-07,96266.46557305085
2019-03-08,96054.55478610937
2019-03-11,97394.36310931662
2019-03-12,97798.59341785577
2019-03-13,98378.90311373137
2019-03-14,98250.77137155578
2019-03-15,98939.28866594273
2019-03-18,99204.61413192129
2019-03-19,99518.17352197786
2019-03-20,99880.61694343537
2019-03-21,101313.49737917387
2019-03-22,99112.61326121727
2019-03-25,98897.96938463555
2019-03-26,99280.03013003763
2019-03-27,98683.00069522792
2019-03-28,98840.79178848685
2019-03-29,99437.7736030091
2019-04-01,100662.32410940377
2019-04-02,101053.53363485677
2019-04-03,101702.42718157874
2019-04-04,101600.5907078579
2019-04-05,102622.14589018299
2019-04-08,103184.83031395613
2019-04-09,102411.51941160063
2019-04-10,103498.92351881266
2019-04-11,102961.33930281553
2019-04-12,103816.67341116694
2019-04-15,103873.91590914152
2019-04-16,104610.76098968183
2019-04-17,105350.81314096543
2019-04-18,105591.8920176944
2019-04-22,106208.31913604373
2019-04-23,108978.53392052163
2019-04-24,108248.74561630457
2019-04-25,109113.12296193613
2019-04-26,109401.00950710097
2019-04-29,109799.09058556262
2019-04-30,108108.02572597958
2019-05-01,107415.88071972801
2019-05-02,106656.36216581437
2019-05-03,109473.45488711292
2019-05-06,108795.84038352339
2019-05-07,104951.02772312156
2019-05-08,104351.99554262756
2019-05-09,103634.88534197224
2019-05-10,103622.95220564395
2019-05-13,99873.56102999076
2019-05-14,100270.0051440405
2019-05-15,100943.91893427697
2019-05-16,101521.5590901512
2019-05-17,100850.75581769012
2019-05-20,99729.51370327704
2019-05-21,100271.90946940526
2019-05-22,99979.12671193403
2019-05-23,98914.6477627775
2019-05-24,98905.47259209568
2019-05-28,98737.58659791894
2019-05-29,98245.0294209921
2019-05-30,98470.03192690012
2019-05-31,97555.32402130548
2019-06-03,96583.94367597558
2019-06-04,97734.9644988839
2019-06-05,98050.78664194305
2019-06-06,98498.67925525301
2019-06-07,99737.94122115384
2019-06-10,100573.73720144606
2019-06-11,99968.63291601854
2019-06-12,99321.34486814105
2019-06-13,99740.71542536652
2019-06-14,99391.59454680732
2019-06-17,99861.54143580457
2019-06-18,100978.81613570733
2019-06-19,101298.75949395706
2019-06-20,101653.70077188856
2019-06-21,101397.27001951383
2019-06-24,101379.06119005899
2019-06-25,99787.65853080196
2019-06-26,100169.70825402404
2019-06-27,100435.58923326127
2019-06-28,100536.51747976331
2019-07-01,100977.03774236991
2019-07-02,101285.24734840545
2019-07-03,102416.97838522543
2019-07-05,102039.28750369004
2019-07-08,100799.22781840037
2019-07-09,101203.38250008714
2019-07-10,102351.06313238994
2019-07-11,102187.42917661992
2019-07-12,103188.6267012521
2019-07-15,103699.63951999445
2019-07-16,102809.02357355863
2019-07-17,101915.13751231994
2019-07-18,101553.38819692978
2019-07-19,99646.09969673769
2019-07-22,100505.35967964407
2019-07-23,101023.67540732033
2019-07-24,101699.41783748439
2019-07-25,100243.78649728163
2019-07-26,102003.04555663488
2019-07-29,101482.67692743699
2019-07-30,100417.79649404809
2019-07-31,99363.36063540963
2019-08-01,99130.30848052175
2019-08-02,98273.57061024409
2019-08-05,96775.71731410813
2019-08-06,97091.81067706103
2019-08-07,96969.63198292202
2019-08-08,97044.16731097813
2019-08-09,96985.79913129084
2019-08-12,96922.84077906724
2019-08-13,96891.34365228844
2019-08-14,96669.16684142308
2019-08-15,96677.47944637864
2019-08-16,96667.98776125105
2019-08-19,96715.47945372645
2019-08-20,96560.40897207665
2019-08-21,96638.9466911626
2019-08-22,96622.8112133623
2019-08-23,95120.37990112083
2019-08-26,95430.04188664723
2019-08-27,95346.02177517882
2019-08-28,95498.9875308774
2019-08-29,95767.64870757399
2019-08-30,95771.54270633771
2019-09-03,95650.89206594578
2019-09-04,95893.59666158451
2019-09-05,96590.78492121324
2019-09-06,96495.4526054333
2019-09-09,96302.72187604694
2019-09-10,96090.32041621204
2019-09-11,96855.50522466954
2019-09-12,97217.68626274283
2019-09-13,96909.48780903622
2019-09-16,96510.71838966668
2019-09-17,96895.6262087653
2019-09-18,96885.48871505994
2019-09-19,97018.4091191997
2019-09-20,96103.99354600998
2019-09-23,96135.1834700252
2019-09-24,95010.79993011082
2019-09-25,95730.1329158565
2019-09-26,95491.44434968583
2019-09-27,94675.9941119863
2019-09-30,95212.03533570806
2019-10-01,94727.88846988854
2019-10-02,93788.11821768065
2019-10-03,93895.86892552221
2019-10-04,94106.169848623
2019-10-07,94028.86492368649
2019-10-08,93749.20728993531
2019-10-09,93890.22133921363
2019-10-10,94000.39622896118
2019-10-11,94191.96809691378
2019-10-14,94150.45277127229
2019-10-15,94444.69575958553
2019-10-16,94396.36709158904
2019-10-17,94490.83646166885
2019-10-18,93671.29615795662
2019-10-21,94449.46176481049
2019-10-22,93750.68330526636
2019-10-23,93896.86595688266
2019-10-24,94749.90367349723
2019-10-25,95387.1296629456
2019-10-28,96377.60769342702
2019-10-29,95562.83661322988
2019-10-30,96037.45659096575
2019-10-31,96068.43860027585
2019-11-01,97021.84788052988
2019-11-04,97680.93563370702
2019-11-05,97730.45784350747
2019-11-06,97487.75491531301
2019-11-07,97868.91229446804
2019-11-08,98317.037616732
2019-11-11,98156.63894804278
2019-11-12,98472.36392884026
2019-11-13,98417.77340576937
2019-11-14,98410.1830961763
2019-11-15,99141.4227672736
2019-11-18,99349.3172635835
2019-11-19,99515.31405369416
2019-11-20,98822.24226473518
2019-11-21,98522.02445183763
2019-11-22,98630.41342102269
2019-11-25,99907.10153916
2019-11-26,100132.17272562934
2019-11-27,100928.98261619639
2019-11-29,100166.53696304142
2019-12-02,99028.12611866642
2019-12-03,98244.9253446456
2019-12-04,98691.84480246891
2019-12-05,98816.5788984903
2019-12-06,99737.10408171335
2019-12-09,99327.00987299062
2019-12-10,99247.2964821826
2019-12-11,99712.97029324512
2019-12-12,100438.18999511767
2019-12-13,100779.88242343231
2019-12-16,102197.58631840814
2019-12-17,102303.10704712091
2019-12-18,102484.40056081477
2019-12-19,104142.62222000684
2019-12-20,105136.42004267144
2019-12-23,105762.98052250629
2019-12-24,105874.45427384644
2019-12-26,108030.47822115856
2019-12-27,107801.61965121978
2019-12-30,106136.125353746
2019-12-31,106568.70536769558
2020-01-02,110727.00590540914
2020-01-03,108318.26691374574
2020-01-06,109956.13499588426
2020-01-07,109844.53068586369
2020-01-08,111791.34139460236
2020-01-09,113981.68614871947
2020-01-10,113249.3427543133
2020-01-13,116357.409664548
2020-01-14,115281.18821525479
2020-01-15,115338.26936412798
2020-01-16,117884.56605312882
2020-01-17,119287.6930520959
2020-01-21,119241.4569831516
2020-01-22,119919.70238849659
2020-01-23,120768.76612820015
2020-01-24,118374.19282152393
2020-01-27,112764.14799602097
2020-01-28,115849.3284212894
2020-01-29,115966.76598445638
2020-01-30,116774.20000332067
2020-01-31,113146.69229871867
2020-02-03,115981.42718232815
2020-02-04,120188.66423964703
2020-02-05,120705.331865676
2020-02-06,122677.32842866768
2020-02-07,121590.17878463386
2020-02-10,124473.47227618747
2020-02-11,124527.09238253198
2020-02-12,126997.56032443035
2020-02-13,126801.3875875251
2020-02-14,127456.37839318249
2020-02-18,127627.92320653175
2020-02-19,130396.13117815378
2020-02-20,127607.94854571742
2020-02-21,122298.94564181639
2020-02-24,112568.53708618513
2020-02-25,111000.19022855375
2020-02-26,111277.01402572487
2020-02-27,108738.40580182234
2020-02-28,108350.62098545363
2020-03-02,109780.2457157685
2020-03-03,108360.46697170421
2020-03-04,109859.12810971729
2020-03-05,108720.56449978943
2020-03-06,107706.99908033467
2020-03-09,105218.03069246293
2020-03-10,106504.03348917935
2020-03-11,105810.25630293704
2020-03-12,104709.34510187377
2020-03-13,105536.3893110278
2020-03-16,104444.60724688154
2020-03-17,104830.45259899143
2020-03-18,104174.29015792692
2020-03-19,104139.0384321993
2020-03-20,103697.34484808314
2020-03-23,103313.42342544075
2020-03-24,104115.49037270014
2020-03-25,104388.53181936676
2020-03-26,104948.23939955214
2020-03-27,104501.40035520973
2020-03-30,104955.03162330683
2020-03-31,104639.26712431319
2020-04-01,103727.89138995466
2020-04-02,104152.33169321068
2020-04-03,103846.8657205277
2020-04-06,105155.86255106782
2020-04-07,105179.24861025048
2020-04-08,105896.74125539929
2020-04-09,106237.92849748947
2020-04-13,106017.78016589617
2020-04-14,106677.46495712695
2020-04-15,106179.28731420347
2020-04-16,106712.94802229272
2020-04-17,107156.57278784824
2020-04-20,106524.44094641184
2020-04-21,104538.4026331348
2020-04-22,105660.56163021037
2020-04-23,105658.78196724472
2020-04-24,105989.03957035042
2020-04-27,106335.50420858452
2020-04-28,106194.27616954684
2020-04-29,107316.93569203558
2020-04-30,107420.60572450729
2020-05-01,105463.88207813299
2020-05-04,105961.55141868783
2020-05-05,106475.37337275
2020-05-06,106741.68779710883
2020-05-07,107386.5290148318
2020-05-08,108115.81904857914
2020-05-11,108801.16054259216
2020-05-12,107272.52293581201
2020-05-13,106589.15452698301
2020-05-14,107186.2600862075
2020-05-15,107545.79662323464
2020-05-18,108664.1877005862
2020-05-19,108427.21396606383
2020-05-20,109820.70133704875
2020-05-21,108971.6700075191
2020-05-22,109174.62879170652
2020-05-26,109049.49135068146
2020-05-27,109458.13527792227
2020-05-28,109292.49312909156
2020-05-29,110327.77153964207
2020-06-01,110712.66889336576
2020-06-02,111220.32584554162
2020-06-03,111601.21603228663
2020-06-04,110790.42491012713
2020-06-05,112978.63953482891
2020-06-08,113962.81378848775
2020-06-09,114954.0841561011
2020-06-10,116468.02186695667
2020-06-11,110534.46686248545
2020-06-12,111916.43505348724
2020-06-15,112955.08269149985
2020-06-16,114272.02453168412
2020-06-17,114467.55758592239
2020-06-18,114700.87811196691
2020-06-19,114653.4912716793
2020-06-22,115612.46539345493
2020-06-23,116298.67166964493
2020-06-24,114491.42528851467
2020-06-25,115233.95616620054
2020-06-26,113094.08576023598
2020-06-29,113854.05126121895
2020-06-30,115570.41336398986
2020-07-01,116812.73132655867
2020-07-02,117535.01676023795
2020-07-06,120481.09431851194
2020-07-07,118861.46570515622
2020-07-08,121739.00604901815
2020-07-09,123506.1789911969
2020-07-10,125053.6824743342
2020-07-13,119406.79607946888
2020-07-14,118608.1987401469
2020-07-15,118702.04204667738
2020-07-16,117999.3961309086
2020-07-17,118182.14002281976
2020-07-20,121955.58130382973
2020-07-21,118080.12435488244
2020-07-22,118864.06863492708
2020-07-23,115228.64782581956
2020-07-24,113963.20088832406
2020-07-27,116193.46027134148
2020-07-28,114579.39531390446
2020-07-29,115957.46857941388
2020-07-30,116644.83161372543
2020-07-31,118967.98785091858
2020-08-03,121237.59027009396
2020-08-04,122428.46252746084
2020-08-05,123163.45214444432
2020-08-06,126761.33746541393
2020-08-07,123567.93845615335
2020-08-10,122289.72803202957
2020-08-11,116828.49427417766
2020-08-12,121249.39319364012
2020-08-13,121491.58043732055
2020-08-14,121212.08197182871
2020-08-17,124321.50166796251
2020-08-18,127184.93965550058
2020-08-19,125222.30576458247
2020-08-20,129072.81841084835
2020-08-21,131127.38084364813
2020-08-24,132990.0866178309
2020-08-25,135378.85063855734
2020-08-26,142040.57221078212
2020-08-27,141267.98179942812
2020-08-28,142744.4685189611
2020-08-31,145020.79289276435
2020-09-01,149674.98730238597
2020-09-02,151999.96803841024
2020-09-03,138551.90425932454
2020-09-04,136546.7134038626
2020-09-08,132105.6464713777
2020-09-09,134875.8696701621
2020-09-10,132693.23985073503
2020-09-11,132030.80366468505
2020-09-14,133621.92496074268
2020-09-15,135238.0366204411
2020-09-16,133190.68174777096
2020-09-17,131489.50340843346
2020-09-18,129813.10776353351
2020-09-21,130284.2910116626
2020-09-22,132348.87720894287
2020-09-23,128491.22582910534
2020-09-24,128919.53676881033
2020-09-25,131531.7991887535
2020-09-28,133892.75762561787
2020-09-29,133423.08846209047
2020-09-30,134281.13860596146
2020-10-01,136288.41955708578
2020-10-02,132510.64658293792
2020-10-05,135173.0365711403
2020-10-06,132801.45087665232
2020-10-07,134920.6286693819
2020-10-08,135464.02736169216
2020-10-09,137469.66759935225
2020-10-12,144118.52234007124
2020-10-13,144131.84626557888
2020-10-14,141734.05149252483
2020-10-15,138262.16229723644
2020-10-16,137634.37963605943
2020-10-19,135469.71803752487
2020-10-20,135760.21408904015
2020-10-21,135646.62926186927
2020-10-22,135644.8578995295
2020-10-23,135891.21936718925
2020-10-26,134018.31586008362
2020-10-27,134811.44214591535
2020-10-28,131189.2186245154
2020-10-29,132375.4001942272
2020-10-30,130672.02748431482
2020-11-02,130731.6449985862
2020-11-03,131927.2127998744
2020-11-04,135577.42398905655
2020-11-05,138122.24299401738
2020-11-06,138290.98047761765
2020-11-09,130305.50045102823
2020-11-10,125868.20984569471
2020-11-11,129078.43143217459
2020-11-12,128318.6460491782
2020-11-13,129636.54538906692
2020-11-16,130830.90865632621
2020-11-17,130332.33075599968
2020-11-18,129097.11894080209
2020-11-19,130381.45682469108
2020-11-20,129299.30690716078
2020-11-23,129310.29210579404
2020-11-24,131382.33993241173
2020-11-25,132377.4072727721
2020-11-27,133864.20088319233
2020-11-30,134150.88545597933
2020-12-01,136370.7582249731
2020-12-02,136601.3598663415
2020-12-03,136824.45678774422
2020-12-04,137487.3580381012
2020-12-07,138423.58413419648
2020-12-08,138931.45203697178
2020-12-09,135123.77340586288
2020-12-10,135766.45612271532
2020-12-11,135380.5411587578
2020-12-14,136472.02514505715
2020-12-15,137995.3531470906
2020-12-16,138838.41249313098
2020-12-17,140090.37975869095
2020-12-18,138921.19149640505
2020-12-21,137303.85632259306
2020-12-22,137743.04195533355
2020-12-23,137023.78937274698
2020-12-24,137633.7400973601
2020-12-28,139161.45494322115
2020-12-29,138723.66796964055
2020-12-30,138690.4604253005
2020-12-31,139039.6474668796
2021-01-04,133839.11773677656
2021-01-05,134277.6175270929
2021-01-06,132577.78753391208
2021-01-07,135757.30303532898
2021-01-08,137663.59207645446
2021-01-11,135291.78273984854
2021-01-12,135055.1890314964
2021-01-13,136031.68173093957
2021-01-14,135235.8676186633
2021-01-15,133981.66209975453
2021-01-19,136139.19576072274
2021-01-20,139797.29563797027
2021-01-21,141830.17146397155
2021-01-22,140803.5819649762
2021-01-25,143916.39704440517
2021-01-26,144052.45258049315
2021-01-27,135422.52187134986
2021-01-28,136377.95494988028
2021-01-29,134074.05107628123
2021-02-01,136592.73697716356
2021-02-02,138309.82231719178
2021-02-03,135898.29506988634
2021-02-04,138324.66553264562
2021-02-05,138868.49669212828
2021-02-08,140139.94798645313
2021-02-09,140081.38861676876
2021-02-10,139272.33168572353
2021-02-11,141083.85425692264
2021-02-12,143024.90957678424
2021-02-16,142049.3831891755
2021-02-17,140424.85121779924
2021-02-18,137702.71623720057
2021-02-19,136953.2825039437
2021-02-22,132674.35732269092
2021-02-23,132197.52484904238
2021-02-24,133389.56375623986
2021-02-25,127932.72377394144
2021-02-26,128745.69996295722
2021-03-01,129707.4433818657
2021-03-02,129341.89084734846
2021-03-03,128767.22010885134
2021-03-04,128202.06553635639
2021-03-05,128970.4190949339
2021-03-08,128799.91483820451
2021-03-09,129361.66052369824
2021-03-10,129654.31800778056
2021-03-11,130091.66356569032
2021-03-12,130708.82753917904
2021-03-15,132380.58456205227
2021-03-16,133271.30884772027
2021-03-17,133961.1928327278
2021-03-18,128813.95862598326
2021-03-19,129450.91491528715
2021-03-22,132191.66900773384
2021-03-23,131476.12431765706
2021-03-24,128753.70390593573
2021-03-25,128471.7750272932
2021-03-26,130721.17234319013
2021-03-29,130702.51358625513
2021-03-30,129946.91932553868
2021-03-31,132214.93919689595
2021-04-01,134927.17297729684
2021-04-05,138346.6110268613
2021-04-06,138197.75221851974
2021-04-07,138636.57369693893
2021-04-08,140749.7310513633
2021-04-09,142890.55350063997
2021-04-12,142414.06764488356
2021-04-13,146525.8713905331
2021-04-14,142162.76819416834
2021-04-15,147457.1266594027
2021-04-16,147985.1424809267
2021-04-19,144554.53547641987
2021-04-20,141877.4230523741
2021-04-21,144620.81165135643
2021-04-22,140427.62618475864
2021-04-23,144610.20759906116
2021-04-26,146891.6580934889
2021-04-27,145349.58604721777
2021-04-28,144154.64378208815
2021-04-29,145277.69799017636
2021-04-30,143132.47112902853
2021-05-03,141298.2167067296
2021-05-04,135552.21517116946
2021-05-05,135875.38579917193
2021-05-06,136903.73615589336
2021-05-07,138073.4952628725
2021-05-10,134295.62131786047
2021-05-11,134061.95902148716
2021-05-12,130622.82407059504
2021-05-13,131474.07717465106
2021-05-14,133809.93742716938
2021-05-17,133045.79652981195
2021-05-18,131988.65497101707
2021-05-19,132022.2189713637
2021-05-20,134502.64786348498
2021-05-21,133655.8732599848
2021-05-24,135984.7942352155
2021-05-25,136208.90009284805
2021-05-26,136721.0593879504
2021-05-27,136117.03117071232
2021-05-28,136578.24653417984
2021-06-01,136100.38103751282
2021-06-02,136335.6324888103
2021-06-03,134773.25182759046
2021-06-04,137215.86886297137
2021-06-07,137661.80967297193
2021-06-08,136850.7068462041
2021-06-09,136970.2078381483
2021-06-10,138667.87235575187
2021-06-11,139472.08507967737
2021-06-14,142546.73403644684
2021-06-15,140454.33711928586
2021-06-16,139264.5345721028
2021-06-17,143128.32660607414
2021-06-18,140526.94665805635
2021-06-21,142232.31489762198
2021-06-22,145216.18574409396
2021-06-23,145406.3984503235
2021-06-24,147432.61362167023
2021-06-25,147080.70922763133
2021-06-28,150965.25387637317
2021-06-29,152250.8298638229
2021-06-30,151733.798900046
2021-07-01,151775.7120206423
2021-07-02,155664.41834418374
2021-07-06,157283.32417375222
2021-07-07,158117.38936456916
2021-07-08,156128.85638377297
2021-07-09,157725.34128431164
2021-07-12,158964.51978500152
2021-07-13,158901.99823918522
2021-07-14,159582.9978340496
2021-07-15,157099.8451373806
2021-07-16,154329.47943507312
2021-07-19,151631.314497889
2021-07-20,154429.89381869874
2021-07-21,156539.50765637375
2021-07-22,158737.90338164044
2021-07-23,162361.79077218272
2021-07-26,162845.88324977158
2021-07-27,159132.93416068016
2021-07-28,160232.71899454118
2021-07-29,160778.1164533588
2021-07-30,159284.99022104472
2021-08-02,159326.56138346207
2021-08-03,161054.53657348658
2021-08-04,161564.6622211383
2021-08-05,163577.9164096854
2021-08-06,162102.34872378927
2021-08-09,162715.64467989202
2021-08-10,160896.99130672342
2021-08-11,160279.4515988876
2021-08-12,161527.10326648806
2021-08-13,162731.96591226023
2021-08-16,162943.7513108939
2021-08-17,159710.11344542858
2021-08-18,156545.65558806475
2021-08-19,157498.29537608326
2021-08-20,160216.5915186833
2021-08-23,164760.59437525764
2021-08-24,165870.15856636886
2021-08-25,166005.9458780672
2021-08-26,164039.36621924888
2021-08-27,167093.0201819885
2021-08-30,171033.59717167477
2021-08-31,170677.2844439187
2021-09-01,171360.08346818385
2021-09-02,171174.22735606393
2021-09-03,172290.60657877094
2021-09-07,172817.98123888668
2021-09-08,171536.05288449253
2021-09-09,170228.9726793695
2021-09-10,167729.9404758346
2021-09-13,167658.33156368893
2021-09-14,166554.18266719452
2021-09-15,168970.08009407812
2021-09-16,169279.4023916962
2021-09-17,165023.61464791838
2021-09-20,158079.84804923396
2021-09-21,158468.54513692932
2021-09-22,160695.27378067572
2021-09-23,163261.64924688943
2021-09-24,163940.11357053157
2021-09-27,161079.9144113029
2021-09-28,154092.72432275655
2021-09-29,153867.65320110557
2021-09-30,153277.5876593437
2021-10-01,154008.29612344873
2021-10-04,151139.9855051423
2021-10-05,152654.52118892412
2021-10-06,153695.60627463888
2021-10-07,154960.63284076136
2021-10-08,154044.86732087846
2021-10-11,152833.2885971641
2021-10-12,152271.55172709853
2021-10-13,153416.5698295993
2021-10-14,156346.85436928668
2021-10-15,157399.31265623396
2021-10-18,159179.36290359127
2021-10-19,161360.83762091715
2021-10-20,160945.07066996748
2021-10-21,163277.68858360228
2021-10-22,159915.26560020322
2021-10-25,163799.70172003348
2021-10-26,165027.40142653786
2021-10-27,166081.39863389437
2021-10-28,170443.88648461775
2021-10-29,172475.1380495865
2021-11-01,173852.12615615255
2021-11-02,175643.24633831857
2021-11-03,180041.73917059717
2021-11-04,185401.22014455986
2021-11-05,185958.19749684253
2021-11-08,185359.08936160055
2021-11-09,182404.1056496452
2021-11-10,176255.1828645766
2021-11-11,177322.6232480289
2021-11-12,181608.22530538685
2021-11-15,181562.42405757468
2021-11-16,184451.92978001136
2021-11-17,184620.2422626984
2021-11-18,188995.4535021281
2021-11-19,191492.2592176621
2021-11-22,186604.32712778097
2021-11-23,184726.82880933426
2021-11-24,185928.14339399475
2021-11-26,178520.6523799447
2021-11-29,185038.44036948803
2021-11-30,180514.40592830774
2021-12-01,177030.83919800355
2021-12-02,177217.3235501782
2021-12-03,172491.13609238673
2021-12-06,173358.88950168292
2021-12-07,176632.42091224494
2021-12-08,178040.6197368478
2021-12-09,172291.14991185066
2021-12-10,175501.06011122905
2021-12-13,172597.9529035326
2021-12-14,170697.80020046103
2021-12-15,174488.566942489
2021-12-16,169391.73547479545
2021-12-17,168447.53460386753
2021-12-20,166612.0648357355
2021-12-21,169944.7333423357
2021-12-22,172111.93431321872
2021-12-23,173675.7006214444
2021-12-27,176838.63427600675
2021-12-28,174608.67762128846
2021-12-29,174443.0453994552
2021-12-30,173793.42128594997
2021-12-31,172521.18498289626
2022-01-03,174420.5695168813
2022-01-04,171777.73207777392
2022-01-05,165897.50954230793
2022-01-06,165682.43723446058
2022-01-07,163829.80281649818
2022-01-10,161882.4011369623
2022-01-11,162230.61511111833
2022-01-12,162320.7833872999
2022-01-13,161750.8410220536
2022-01-14,161649.65201074842
2022-01-18,160909.59469318553
2022-01-19,160513.58985751067
2022-01-20,160144.8332815272
2022-01-21,159769.75538111987
2022-01-24,159851.94973363515
2022-01-25,159795.33708748166
2022-01-26,159797.32736563194
2022-01-27,159617.71556173565
2022-01-28,160417.76527586638
2022-01-31,161134.35263310323
2022-02-01,161412.06135527953
2022-02-02,161878.12558545286
2022-02-03,160660.57632841094
2022-02-04,160851.6419534109
