,vix,vix_ma,irx,irx_delta,curve_slope,spy_sma,spy_above_sma,qqq_mom,score_vix_level,score_vix_trend,score_rate_easing,score_trend,score_momentum,score_curve,composite
2018-06-11,12.350000381469727,13.337500095367432,1.8680000305175781,0.13499999046325684,0.9340000152587891,232.65768058776857,1,0.2603497878117318,2,1,1,1,1,1,6.0
2018-06-12,12.34000015258789,13.308000087738037,1.8880000114440918,0.1499999761581421,0.9200000762939453,232.82705390930175,1,0.2738033789508898,2,1,1,1,1,1,6.0
2018-06-13,12.9399995803833,13.223500061035157,1.8949999809265137,0.1669999361038208,0.9449999332427979,232.99001136779785,1,0.26347680315565225,2,1,1,1,1,1,6.0
2018-06-14,12.119999885559082,13.158500051498413,1.8830000162124634,0.125,0.9329999685287476,233.15601837158204,1,0.2818388928259501,2,1,1,1,1,1,6.0
2018-06-15,11.979999542236328,13.086000013351441,1.8880000114440918,0.17799997329711914,0.9110000133514404,233.3192339324951,1,0.28305635042538446,2,1,1,1,1,1,6.0
2018-06-18,12.3100004196167,13.030500030517578,1.8830000162124634,0.20000004768371582,0.9160000085830688,233.47486618041992,1,0.28790336576951736,2,1,1,1,1,1,6.0
2018-06-19,13.350000381469727,13.044000053405762,1.8980000019073486,0.21000003814697266,0.8689999580383301,233.61934501647949,1,0.2631340802307982,2,0,1,1,1,1,6.0
2018-06-20,12.789999961853027,13.022500038146973,1.8880000114440918,0.18299996852874756,0.9079999923706055,233.76438461303712,1,0.2821457761123469,2,1,1,1,1,1,6.0
2018-06-21,14.640000343322754,13.125500059127807,1.8899999856948853,0.15699994564056396,0.8769999742507935,233.90950157165528,1,0.2585434577181467,2,0,1,1,1,1,6.0
2018-06-22,13.770000457763672,13.187500095367431,1.8700000047683716,0.17499995231628418,0.903999924659729,234.05317810058594,1,0.25610774155732496,2,0,1,1,1,1,6.0
2018-06-25,17.329999923706055,13.393000078201293,1.8530000448226929,0.1830000877380371,0.8899999856948853,234.18038619995116,1,0.22311296754065513,2,0,1,1,1,1,6.0
2018-06-26,15.920000076293945,13.338000059127808,1.8930000066757202,0.21000003814697266,0.8549998998641968,234.31152069091797,1,0.23387475181663775,2,0,1,1,1,1,6.0
2018-06-27,17.90999984741211,13.486500072479249,1.8799999952316284,0.1669999361038208,0.8170000314712524,234.42121078491212,1,0.2395798047662887,2,0,1,1,1,1,6.0
2018-06-28,16.850000381469727,13.557500076293945,1.8799999952316284,0.2120000123977661,0.846000075340271,234.53407592773436,1,0.23247370690874525,2,0,1,1,1,1,6.0
2018-06-29,16.09000015258789,13.68900008201599,1.8799999952316284,0.20500004291534424,0.8509999513626099,234.6481492614746,1,0.25761109289123696,2,0,1,1,1,1,6.0
2018-07-02,15.600000381469727,13.832000112533569,1.8949999809265137,0.21500003337860107,0.8580000400543213,234.7651454925537,1,0.2655766750950097,2,0,1,1,1,1,6.0
2018-07-03,16.139999389648438,14.019000101089478,1.9329999685287476,0.2580000162124634,0.7970000505447388,234.87641403198242,1,0.2642477709487252,2,0,1,1,1,1,6.0
2018-07-05,14.970000267028809,14.18550009727478,1.909999966621399,0.21499991416931152,0.8309999704360962,234.99517082214356,1,0.26746881102663234,2,0,1,1,1,1,6.0
2018-07-06,13.369999885559082,14.247500085830689,1.9049999713897705,0.2120000123977661,0.818000078201294,235.12308502197266,1,0.2988967639587812,2,1,1,1,1,1,6.0
2018-07-09,12.6899995803833,14.273000049591065,1.9149999618530273,0.2099999189376831,0.8370001316070557,235.2616123199463,1,0.2965981559628301,2,1,1,1,1,1,6.0
2018-07-10,12.640000343322754,14.287500047683716,1.934999942779541,0.21699988842010498,0.8370001316070557,235.4075112915039,1,0.2891271621620519,2,1,1,1,1,1,6.0
2018-07-11,13.630000114440918,14.352000045776368,1.9199999570846558,0.20699989795684814,0.8200000524520874,235.54413749694825,1,0.2789874876563083,2,1,1,1,1,1,6.0
2018-07-12,12.579999923706055,14.334000062942504,1.9279999732971191,0.17299997806549072,0.8270001411437988,235.69413612365722,1,0.2857690969012374,2,1,1,1,1,1,6.0
2018-07-13,12.180000305175781,14.33700008392334,1.9279999732971191,0.15799999237060547,0.7990000247955322,235.84445449829101,1,0.28401482862953276,2,1,1,1,1,1,6.0
2018-07-16,12.829999923706055,14.379500102996825,1.937999963760376,0.1549999713897705,0.8159999847412109,235.98941680908203,1,0.2709360799550875,2,1,1,1,1,1,6.0
2018-07-17,12.0600004196167,14.367000102996826,1.975000023841858,0.21000003814697266,0.7879999876022339,236.13808113098145,1,0.278038065135779,2,1,1,1,1,1,6.0
2018-07-18,12.100000381469727,14.304500102996826,1.9600000381469727,0.1770000457763672,0.807999849319458,236.28551086425782,1,0.2671607295984155,2,1,1,1,1,1,6.0
2018-07-19,12.869999885559082,14.30850009918213,1.9479999542236328,0.125,0.7920000553131104,236.42346336364747,1,0.25346766861164904,2,1,1,1,1,1,6.0
2018-07-20,12.859999656677246,14.219500064849854,1.9329999685287476,0.11799991130828857,0.8349999189376831,236.55763122558594,1,0.251536239048171,2,1,1,1,1,1,6.0
2018-07-23,12.619999885559082,14.162000036239624,1.9199999570846558,0.13499999046325684,0.908000111579895,236.6927932739258,1,0.25604379503410657,2,1,1,1,1,1,6.0
2018-07-24,12.40999984741211,13.916000032424927,1.9600000381469727,0.19000005722045898,0.8580000400543213,236.8276457977295,1,0.25547038895642293,2,1,1,1,1,1,6.0
2018-07-25,12.289999961853027,13.73450002670288,1.9529999494552612,0.18999993801116943,0.8609999418258667,236.97442024230958,1,0.27628005681938417,2,1,1,1,1,1,6.0
2018-07-26,12.140000343322754,13.446000051498412,1.9450000524520874,0.1350001096725464,0.9129999876022339,237.1200594329834,1,0.25286492635979996,2,1,1,1,1,1,6.0
2018-07-27,13.029999732971191,13.255000019073487,1.9450000524520874,0.16000008583068848,0.900999903678894,237.25424415588378,1,0.2437683922148126,2,1,1,1,1,1,6.0
2018-07-30,14.260000228881836,13.163500022888183,1.9450000524520874,0.15700006484985352,0.904999852180481,237.3801528930664,1,0.22721509177266808,2,0,1,1,1,1,6.0
2018-07-31,12.829999923706055,13.025,1.9850000143051147,0.19200003147125244,0.8630000352859497,237.51385047912598,1,0.2418726979859105,2,1,1,1,1,1,6.0
2018-08-01,13.149999618530273,12.875500011444093,1.9780000448226929,0.18500006198883057,0.8969999551773071,237.6441044616699,1,0.24372236965911953,2,0,1,1,1,1,6.0
2018-08-02,12.1899995803833,12.736499977111816,1.965000033378601,0.12999999523162842,0.8879998922348022,237.7796600341797,1,0.25722974949088173,2,1,1,1,1,1,6.0
