,equity
2018-05-24,100000.0
2018-05-25,100100.615265753
2018-05-29,99464.06642772298
2018-05-30,100526.0984522195
2018-05-31,100421.65523253336
2018-06-01,102749.81108361584
2018-06-04,104073.29004438533
2018-06-05,104590.7255315246
2018-06-06,105284.82902123607
2018-06-07,104313.15128717036
2018-06-08,104461.91324170757
2018-06-11,104873.5783025441
2018-06-12,105707.74911050042
2018-06-13,105701.32281079404
2018-06-14,107149.77272647232
2018-06-15,106596.52091400244
2018-06-18,106514.29162835654
2018-06-19,106469.44798680993
2018-06-20,107596.55553481786
2018-06-21,106214.93911459704
2018-06-22,105681.66131052148
2018-06-25,101867.39698793532
2018-06-26,102544.5732402672
2018-06-27,99680.55479284526
2018-06-28,101691.50219702568
2018-06-29,102170.67418281324
2018-07-02,103807.99450187231
2018-07-03,101329.72773935259
2018-07-05,103909.67022622119
2018-07-06,106775.8132075357
2018-07-09,108572.86886203523
2018-07-10,108750.58574766047
2018-07-11,107965.95109049154
2018-07-12,110624.50415452017
2018-07-13,110756.09139970879
2018-07-16,110462.63857318665
2018-07-17,111890.25213343397
2018-07-18,111602.18223586748
2018-07-19,110947.44272122915
2018-07-20,110782.53524363067
2018-07-23,111273.97873112239
2018-07-24,112018.20243614941
2018-07-25,114356.46184822105
2018-07-26,111851.18015291898
2018-07-27,109355.32840267255
2018-07-30,106529.03008908105
2018-07-31,107886.40131148926
2018-08-01,108922.49778377528
2018-08-02,111310.09667802116
2018-08-03,111919.2075537176
2018-08-06,113156.67873574815
2018-08-07,113801.52876038503
2018-08-08,113958.91508743304
2018-08-09,113912.47362594516
2018-08-10,112586.15023672488
2018-08-13,112331.33618320627
2018-08-14,113574.52506086696
2018-08-15,111084.06196280429
2018-08-16,111698.08720937106
2018-08-17,111695.63555715831
2018-08-20,111568.07178317118
2018-08-21,112261.55791732256
2018-08-22,113050.49237943292
2018-08-23,112713.4099544936
2018-08-24,114590.94762637236
2018-08-27,116504.25975940854
2018-08-28,116771.98294975767
2018-08-29,118813.87961666119
2018-08-30,118468.84813297648
2018-08-31,118613.36382347437
2018-09-04,118010.85256339578
2018-09-05,115664.27400139326
2018-09-06,113753.43592914897
2018-09-07,113104.53049773535
2018-09-10,113711.00842943646
2018-09-11,115245.06710975149
2018-09-12,114645.25927426906
2018-09-13,116678.01718611989
2018-09-14,116150.48250306616
2018-09-17,113211.40555605237
2018-09-18,115066.2547782037
2018-09-19,114917.84805248398
2018-09-20,117078.7707702402
2018-09-21,115971.85198968765
2018-09-24,116606.52308765605
2018-09-25,116892.34278035577
2018-09-26,116825.73128352957
2018-09-27,118764.81372594833
2018-09-28,118570.25331207598
2018-10-01,118928.10113571212
2018-10-02,118593.12363737711
2018-10-03,118775.36849367493
2018-10-04,115379.62150834245
2018-10-05,112791.33125873399
2018-10-08,111547.9777387624
2018-10-09,112152.24198962984
2018-10-10,101925.6954157573
2018-10-11,100077.73080817616
2018-10-12,100770.81603720947
2018-10-15,100511.73198629005
2018-10-16,101502.04870320544
2018-10-17,101513.40301785631
2018-10-18,99328.78631189506
2018-10-19,99055.79157112673
2018-10-22,99649.13467237886
2018-10-23,99276.49080595135
2018-10-24,93865.41274137335
2018-10-25,95385.39508403432
2018-10-26,95297.92345611012
2018-10-29,95007.31220332459
2018-10-30,94968.8737549269
2018-10-31,94961.49937157618
2018-11-01,96421.06465971959
2018-11-02,94850.81201067558
2018-11-05,94530.6034486643
2018-11-06,95237.68806360249
2018-11-07,98284.9710144795
