,w_tqqq,w_qld,w_spy,w_cash
2018-05-24,0.0,0.0,0.0,0.0
2018-05-25,0.7551949396537053,0.0,0.0,0.24480506034629473
2018-05-29,0.6881503111424345,0.046273798099310016,0.0,0.26557589075825544
2018-05-30,0.41728705226249,0.24265502508596162,0.0,0.34005792265154844
2018-05-31,0.5714937996232485,0.13158647449000263,0.0,0.2969197258867488
2018-06-01,0.5390890775284031,0.15958034545499844,0.0,0.30133057701659843
2018-06-04,0.7048219193080217,0.036325514000644696,0.0,0.25885256669133366
2018-06-05,0.7511435509817984,0.0,0.0,0.24885644901820161
2018-06-06,0.7541758616786953,0.0,0.0,0.24582413832130465
2018-06-07,0.7497819719376377,0.0,0.0,0.2502180280623623
2018-06-08,0.7496431930951856,0.0,0.0,0.25035680690481454
2018-06-11,0.7510874114388949,0.0,0.0,0.24891258856110518
2018-06-12,0.754000014970002,0.0,0.0,0.24599998502999804
2018-06-13,0.7537750559268397,0.0,0.0,0.24622494407316028
2018-06-14,0.7592782520013991,0.0,0.0,0.24072174799860088
2018-06-15,0.757433623187098,0.0,0.0,0.24256637681290202
2018-06-18,0.7570091490305747,0.0,0.0,0.24299085096942524
2018-06-19,0.755338620450293,0.0,0.0,0.24466137954970704
2018-06-20,0.7033844385721997,0.0358953628210202,0.0,0.2607201986067802
2018-06-21,0.7483811611580902,0.0,0.0,0.2516188388419098
2018-06-22,0.6243465388251914,0.09033364351355681,0.0,0.28531981766125175
2018-06-25,0.6764216768689375,0.04887522539961676,0.0,0.2747030977314458
2018-06-26,0.42703702736879706,0.2345849831780626,0.0,0.33837798945314035
2018-06-27,0.4835441932568889,0.1868864791346505,0.0,0.32956932760846064
2018-06-28,0.200362832739863,0.13068685352349654,0.0,0.6689503137366405
2018-06-29,0.4393553886671062,0.22439918501593906,0.0,0.33624542631695475
2018-07-02,0.262237890897081,0.0903001401387736,0.0,0.6474619689641455
2018-07-03,0.25604971103776564,0.089179625329139,0.0,0.6547706636330953
2018-07-05,0.2623892642270031,0.09034178132585059,0.0,0.6472689544471464
2018-07-06,0.31363446142793894,0.051797219349488756,0.0,0.6345683192225724
2018-07-09,0.7542506946663646,0.0,0.0,0.24574930533363543
2018-07-10,0.7546787171239995,0.0,0.0,0.24532128287600058
2018-07-11,0.7519275587058318,0.0,0.0,0.2480724412941681
2018-07-12,0.7607891612642178,0.0,0.0,0.23921083873578228
2018-07-13,0.7613055075424309,0.0,0.0,0.23869449245756907
2018-07-16,0.7600600274232194,0.0,0.0,0.23993997257678054
2018-07-17,0.7633754877005273,0.0,0.0,0.23662451229947262
2018-07-18,0.7622064738403521,0.0,0.0,0.2377935261596478
2018-07-19,0.7594816879140192,0.0,0.0,0.24051831208598087
2018-07-20,0.7592129338120323,0.0,0.0,0.2407870661879678
2018-07-23,0.7607747622262967,0.0,0.0,0.2392252377737033
2018-07-24,0.7630590885215106,0.0,0.0,0.23694091147848947
2018-07-25,0.7703540447957695,0.0,0.0,0.2296459552042305
2018-07-26,0.7623434167953625,0.0,0.0,0.23765658320463745
2018-07-27,0.7545226577581894,0.0,0.0,0.24547734224181056
2018-07-30,0.7462653511407906,0.0,0.0,0.25373464885920943
2018-07-31,0.32775803085701627,0.03663635502333889,0.0,0.6356056141196448
2018-08-01,0.37061040412051366,0.004048774214200374,0.0,0.6253408216652859
2018-08-02,0.3797054801003466,0.004097920389765182,0.0,0.6161965995098883
2018-08-03,0.7660075181122749,0.0,0.0,0.23399248188772517
2018-08-06,0.7692402830730884,0.0,0.0,0.23075971692691155
2018-08-07,0.7709478428483172,0.0,0.0,0.22905215715168284
2018-08-08,0.7714059848055348,0.0,0.0,0.2285940151944652
2018-08-09,0.7712347464016001,0.0,0.0,0.22876525359839997
2018-08-10,0.7670292256011656,0.0,0.0,0.23297077439883432
2018-08-13,0.7176314760480481,0.023036966514237037,0.0,0.25933155743771485
2018-08-14,0.6142414080199978,0.1016182996002461,0.0,0.2841402923797562
2018-08-15,0.692225359485626,0.04111318338059925,0.0,0.26666145713377476
2018-08-16,0.5913716356618597,0.11542803847471625,0.0,0.2932003258634241
2018-08-17,0.707448639406052,0.03291797404420324,0.0,0.25963338654974466
2018-08-20,0.7570550756401038,0.0,0.0,0.2429449243598962
2018-08-21,0.758928416527721,0.0,0.0,0.24107158347227906
2018-08-22,0.7610199284704589,0.0,0.0,0.2389800715295411
2018-08-23,0.7600951700019756,0.0,0.0,0.23990482999802448
2018-08-24,0.7650419406691836,0.0,0.0,0.23495805933081643
2018-08-27,0.7703219537629399,0.0,0.0,0.22967804623706015
2018-08-28,0.7710913534510221,0.0,0.0,0.2289086465489779
2018-08-29,0.7770883924078347,0.0,0.0,0.2229116075921653
2018-08-30,0.7760900916367839,0.0,0.0,0.22390990836321617
2018-08-31,0.7370217758717053,0.01066141350888655,0.0,0.25231681061940825
2018-09-04,0.7347445072258219,0.010669535255253423,0.0,0.2545859575189248
2018-09-05,0.7269550573118507,0.01070851660912889,0.0,0.2623364260790204
2018-09-06,0.6674285881006196,0.05733113075390405,0.0,0.2752402811454763
2018-09-07,0.6326328065771203,0.08867860430353708,0.0,0.27868858911934263
2018-09-10,0.6343900287612166,0.08855629348649463,0.0,0.27705367775228873
2018-09-11,0.6882123354673115,0.05103301557584509,0.0,0.26075464895684336
2018-09-12,0.7348810341146473,0.010686759625558755,0.0,0.25443220625979396
2018-09-13,0.7403605994059885,0.010661407418695442,0.0,0.24897799317531602
2018-09-14,0.7389134736874843,0.010665971675727292,0.0,0.2504205546367884
2018-09-17,0.7614957972868612,0.0,0.0,0.2385042027131388
2018-09-18,0.6956656450213018,0.043567083579772604,0.0,0.26076727139892564
2018-09-19,0.7508652661633723,0.0,0.0,0.24913473383662757
2018-09-20,0.7565880201966857,0.0,0.0,0.24341197980331433
2018-09-21,0.7536011902725529,0.0,0.0,0.24639880972744713
2018-09-24,0.7551739526530075,0.0,0.0,0.24482604734699254
2018-09-25,0.7559050849699295,0.0,0.0,0.24409491503007053
2018-09-26,0.7557029801424422,0.0,0.0,0.24429701985755778
2018-09-27,0.7606952212696136,0.0,0.0,0.23930477873038628
2018-09-28,0.7603984104450633,0.0,0.0,0.23960158955493666
2018-10-01,0.7614283550697822,0.0,0.0,0.2385716449302178
2018-10-02,0.760367285808594,0.0,0.0,0.23963271419140594
2018-10-03,0.7608882715014336,0.0,0.0,0.23911172849856638
2018-10-04,0.7500229791180328,0.0,0.0,0.24997702088196722
2018-10-05,0.6291443817291957,0.08442360698658449,0.0,0.2864320112842197
2018-10-08,0.2873261358401242,0.06404971957004843,0.0,0.6486241445898274
2018-10-09,0.28878167914043806,0.06423767194774277,0.0,0.6469806489118192
2018-10-10,0.23269080059727335,0.08536488954362446,0.0,0.6819443098591021
2018-10-11,0.07145869756991727,0.20697984646170556,0.0,0.7215614559683772
2018-10-12,0.0,0.0,0.25846314278454896,0.741536857215451
2018-10-15,0.0,0.0,0.2882604455767787,0.7117395544232212
2018-10-16,0.0,0.0,0.2927002119796428,0.7072997880203572
