,InvVol
2018-05-24,100000.0
2018-05-25,99560.22594287746
2018-05-29,97993.04163576584
2018-05-30,100153.37606939206
2018-05-31,99509.68792119293
2018-06-01,101150.24091352258
2018-06-04,101688.82212841028
2018-06-05,102558.28787249525
2018-06-06,103953.91565122355
2018-06-07,102578.00826234113
2018-06-08,102516.0447049329
2018-06-11,103286.20001014414
2018-06-12,103935.65371756075
2018-06-13,104248.91300200259
2018-06-14,105982.5023691932
2018-06-15,103034.42465693719
2018-06-18,102875.10436580067
2018-06-19,101423.83217233712
2018-06-20,102475.87936453898
2018-06-21,100050.15060820442
2018-06-22,100854.34275942469
2018-06-25,95660.79831410052
2018-06-26,96661.2924379375
2018-06-27,94727.40338071954
2018-06-28,95124.59009142374
2018-06-29,95760.52814485146
2018-07-02,94051.23536798757
2018-07-03,92831.0419250636
2018-07-05,94716.08702293622
2018-07-06,96162.00994830014
2018-07-09,97552.20187267127
2018-07-10,97489.54608142472
2018-07-11,94067.86483283532
2018-07-12,97216.82560117976
2018-07-13,97547.01843322482
2018-07-16,96135.05947352924
2018-07-17,96971.84647546212
2018-07-18,96748.44590698308
2018-07-19,95854.16204743857
2018-07-20,95920.57839303711
2018-07-23,96005.91615954462
2018-07-24,97276.1400766384
2018-07-25,100810.42992867905
2018-07-26,97309.03608201165
2018-07-27,94636.83154253094
2018-07-30,92488.57077430835
2018-07-31,93210.57929393303
2018-08-01,92294.90430576938
2018-08-02,93175.41578605559
2018-08-03,93900.725338484
2018-08-06,94745.84297793303
2018-08-07,95786.13499914401
2018-08-08,95512.69184554914
2018-08-09,95445.52504712976
2018-08-10,93517.13863780517
2018-08-13,92702.47964434375
2018-08-14,93607.7269584317
2018-08-15,90429.36854717933
2018-08-16,91374.87248628143
2018-08-17,91908.89740102069
2018-08-20,92339.41192526661
2018-08-21,93059.85006164122
2018-08-22,94475.83650111617
2018-08-23,93813.44888643052
2018-08-24,95167.88289854999
2018-08-27,95920.46957499038
2018-08-28,95256.40946968306
2018-08-29,96432.7932225475
2018-08-30,95889.26956362202
2018-08-31,95509.88219043604
2018-09-04,94405.8516703636
2018-09-05,93444.36023919853
2018-09-06,93148.28865854081
2018-09-07,92391.90589942032
2018-09-10,92891.23846755402
2018-09-11,93067.68163778202
2018-09-12,93620.62364041845
2018-09-13,93877.85335329927
2018-09-14,93253.04719876772
2018-09-17,92880.87361477438
2018-09-18,93168.24592912657
2018-09-19,93290.10301666497
2018-09-20,94406.05434562301
2018-09-21,94056.5567186066
2018-09-24,94261.30229289638
2018-09-25,94574.43394798055
2018-09-26,94577.12886064232
2018-09-27,94673.92366562592
2018-09-28,94731.3764497995
2018-10-01,95013.43871067325
2018-10-02,95485.22038171192
2018-10-03,94905.03439698752
2018-10-04,93192.6815878336
2018-10-05,92358.04970057915
2018-10-08,91472.0135600952
2018-10-09,92048.24302044383
2018-10-10,90362.75325897992
2018-10-11,90933.28573948651
2018-10-12,91083.80021289927
2018-10-15,91364.55456325435
2018-10-16,91892.36524113893
2018-10-17,91334.45184368119
2018-10-18,90698.40571407843
2018-10-19,90879.79574238209
2018-10-22,90725.92730596106
2018-10-23,90387.38425498822
2018-10-24,89576.9421735676
2018-10-25,89820.63358515955
2018-10-26,90200.70720394311
2018-10-29,89668.28299779184
2018-10-30,89424.78116610965
2018-10-31,88890.10766854811
2018-11-01,89610.78428543927
2018-11-02,89156.23357194735
2018-11-05,89226.58352739285
2018-11-06,89133.83198101935
2018-11-07,89527.41353485896
2018-11-08,89134.13135914908
2018-11-09,88544.77326427624
2018-11-12,88011.02715979445
2018-11-13,87754.28755635205
2018-11-14,88079.52455816232
2018-11-15,88206.72258350682
2018-11-16,88809.55752185937
2018-11-19,88736.44018275928
2018-11-20,88019.14563318883
2018-11-21,88446.36729462507
2018-11-23,88024.50319575975
2018-11-26,88285.28662552492
2018-11-27,88017.59701347232
2018-11-28,88340.80426670436
2018-11-29,88582.7701192989
2018-11-30,88568.73192826865
2018-12-03,89715.19702424301
2018-12-04,89962.16949976611
2018-12-06,89981.82686489151
2018-12-07,90113.7980246928
2018-12-10,89853.32426136023
2018-12-11,89922.07920282675
2018-12-12,90044.49886580276
2018-12-13,89942.17398955645
2018-12-14,89484.75711725416
2018-12-17,89806.19819968115
2018-12-18,90047.07327098328
2018-12-19,90236.55199074595
2018-12-20,90620.55695772225
2018-12-21,90048.14635488909
2018-12-24,90684.54742758445
2018-12-26,90636.28801337173
2018-12-27,91000.8830150965
2018-12-28,91615.91895895934
2018-12-31,91978.12520614054
2019-01-02,92313.79002448992
2019-01-03,93238.50146834501
2019-01-04,92877.9643586034
2019-01-07,93076.9223171789
2019-01-08,93032.71341542804
