date,score,prev_w,new_w,equity_open,cost,trail_active,max_drift,event,sleeve_ret
2018-05-25,0.7280796393272813,[0. 0. 0. 1.],[0.66424057 0.06383907 0.         0.27192036],100007.38095243771,21.844001356175063,False,0.7280796393272813,,
2018-05-29,0.7167256650694845,[0.66194474 0.0638893  0.         0.27416596],[0.62133139 0.09539428 0.         0.28327433],99173.88253131544,1.2083352980563364,False,0.04061335730788429,,
2018-05-30,0.6226829981890434,[0.62344828 0.09542148 0.         0.28113023],[0.30557047 0.31711253 0.         0.377317  ],99936.33396103617,9.530263086351212,False,0.31787781642617025,,
2018-05-31,0.6686183165350734,[0.3070119  0.31745558 0.         0.37553251],[0.45096518 0.21765314 0.         0.33138168],100409.1267092038,4.336266813329967,False,0.14395327581088274,,
2018-06-01,0.657080334989106,[0.45321208 0.21796346 0.         0.32882446],[0.4128576  0.24422274 0.         0.34291967],101193.13229136812,1.22507882958409,False,0.04035447867011005,,
2018-06-04,0.7058455452390662,[0.41965306 0.24507342 0.         0.33527352],[0.58118064 0.1246649  0.         0.29415445],103507.33133597314,5.015786690850786,False,0.16152758218868274,,
2018-06-05,0.7247817717398186,[0.58634    0.12457783 0.         0.28908217],[0.65167092 0.07311085 0.         0.27521823],105326.18016304083,2.064316890422769,False,0.06533092048679279,,
2018-06-06,0.714677764066882,[0.6526742  0.07315922 0.         0.27416658],[0.6137017  0.10097607 0.         0.28532224],105736.10333241012,1.2362402259198022,False,0.038972504406665665,,
2018-06-07,0.7443703743768344,[0.61655895 0.10090461 0.         0.28253644],[0.72760827 0.01676211 0.         0.25562963],106785.4569093704,3.557535749065918,False,0.1110493211350938,,
2018-06-12,0.7569469521883568,[0.72498022 0.01678211 0.         0.25823768],[0.76736738 0.         0.         0.23263262],105727.09294556538,1.3444415296356966,False,0.04238716530075837,,
2018-06-14,0.7466058456532283,[0.77171559 0.         0.         0.22828441],[0.73646946 0.01013638 0.         0.25339415],107755.71543047842,1.1393913870658758,False,0.03524612383711512,,
2018-06-15,0.7590982307225131,[0.73722696 0.01015219 0.         0.25262085],[0.77274558 0.         0.         0.22725442],108092.50168907078,1.1517888444560769,False,0.03551861681609236,,
2018-06-20,0.7325066475233897,[0.77332129 0.         0.         0.22667871],[0.68125066 0.05125599 0.         0.26749335],108390.25584306059,2.993867636117814,False,0.09207062673151067,,
2018-06-21,0.7416819573501386,[0.68404061 0.05122494 0.         0.26473444],[0.71700459 0.02467737 0.         0.25831804],109525.01576094779,1.083113924364889,False,0.03296397378077598,,
2018-06-22,0.7128141373284196,[0.71254514 0.02470967 0.         0.26274519],[0.6067877  0.10602643 0.         0.28718586],107686.57533347406,3.416596926036368,False,0.10575743898302892,,
2018-06-25,0.7256875458482949,[0.59805804 0.10604717 0.         0.2958948 ],[0.65511457 0.07057298 0.         0.27431245],104521.52644840081,1.7890905488455786,False,0.05705652572690534,,
2018-06-26,0.6584481993060248,[0.64874972 0.07068895 0.         0.28056134],[0.41731973 0.24112847 0.         0.3415518 ],102199.30606288894,7.095595326815727,False,0.23142999041661505,,
2018-06-27,0.6801237268905794,[0.41977595 0.24139032 0.         0.33883372],[0.49002568 0.19009805 0.         0.31987627],103019.72053565868,2.171132177276288,False,0.07024972713920935,,
2018-06-28,0.6406599202499574,[0.47904073 0.18942811 0.         0.33153117],[0.18023035 0.14009961 0.         0.67967004],99403.40873042672,10.381857185634052,True,0.3481388723059701,,
2018-06-29,0.6479266506233696,[0.18594081 0.14259347 0.         0.67146572],[0.38338248 0.26454417 0.         0.35207335],100614.96838927054,9.640696019205523,False,0.31939237184890523,,
2018-07-02,0.658813310182398,[0.37737052 0.26353562 0.         0.35909386],[0.20925665 0.12015001 0.         0.67059334],98645.78928335446,9.218433789671458,True,0.3114994857405766,,
2018-07-03,0.6784364187777221,[0.21808692 0.12276004 0.         0.65915305],[0.48423106 0.19420536 0.         0.32156358],100356.05865766897,10.163744507427666,False,0.3375894670560905,,
2018-07-05,0.6566993477283133,[0.47925203 0.19399591 0.         0.32675205],[0.20580872 0.12254095 0.         0.67165033],98760.08438147813,10.21865472784938,True,0.34489827180172755,,
2018-07-06,0.6843443446484072,[0.20913989 0.12360734 0.         0.66725277],[0.25231002 0.08986215 0.         0.65782783],99408.21526484647,1.2874396227009846,True,0.043170128319574286,,
