,w_tqqq,w_spy,w_cash
2018-05-24,0.0,0.0,0.0
2018-05-25,0.5005406331428173,0.0,0.4994593668571826
2018-05-29,0.5002280362883034,0.0,0.49977196371169663
2018-05-30,0.5027376213826845,0.0,0.49726237861731554
2018-05-31,0.49982113702541353,0.0,0.5001788629745865
2018-06-01,0.5079902731517314,0.0,0.4920097268482687
2018-06-04,0.5045840698259316,0.0,0.4954159301740685
2018-06-05,0.4005551309019843,0.0,0.5994448690980156
2018-06-06,0.40318042553283906,0.0,0.596819574467161
2018-06-07,0.3940673869408359,0.0,0.6059326130591641
2018-06-08,0.5038116773710092,0.0,0.4961883226289908
2018-06-11,0.5025704764515675,0.0,0.4974295235484326
2018-06-12,0.5028996123609527,0.0,0.4971003876390473
2018-06-13,0.39883268778487535,0.0,0.6011673122151246
2018-06-14,0.5039363732157834,0.0,0.4960636267842166
2018-06-15,0.4003829060178613,0.0,0.5996170939821387
2018-06-18,0.40426218334501923,0.0,0.5957378166549808
2018-06-19,0.5075677096283515,0.0,0.49243229037164854
2018-06-20,0.5019017414395186,0.0,0.49809825856048134
2018-06-21,0.49171183445989214,0.0,0.5082881655401078
2018-06-22,0.4949756975346979,0.0,0.5050243024653022
2018-06-25,0.5899305372984985,0.0,0.4100694627015016
2018-06-26,0.7002907345080457,0.0,0.2997092654919544
2018-06-27,0.6886446268358809,0.0,0.31135537316411915
2018-06-28,0.8046139615924687,0.0,0.1953860384075313
2018-06-29,0.6979468646329251,0.0,0.3020531353670749
2018-07-02,0.709958137058242,0.0,0.290041862941758
2018-07-03,0.690302947889803,0.0,0.30969705211019716
2018-07-05,0.7034661773003466,0.0,0.2965338226996534
2018-07-06,0.6090540466486517,0.0,0.3909459533513483
2018-07-09,0.6026879882812499,0.0,0.39731201171875
2018-07-10,0.49952373816351486,0.0,0.5004762618364852
2018-07-11,0.5020646033862195,0.0,0.4979353966137805
2018-07-12,0.5089956165297064,0.0,0.49100438347029374
2018-07-13,0.40066306593730255,0.0,0.5993369340626974
2018-07-16,0.39819394461758234,0.0,0.6018060553824177
2018-07-17,0.5124980496389793,0.0,0.48750195036102073
2018-07-18,0.39854191422993795,0.0,0.6014580857700621
2018-07-19,0.3987782988605783,0.0,0.6012217011394216
2018-07-20,0.49760985842444244,0.0,0.5023901415755576
2018-07-23,0.5043774589606019,0.0,0.4956225410393982
2018-07-24,0.4954162864295271,0.0,0.5045837135704728
2018-07-25,0.5098738074327184,0.0,0.4901261925672817
2018-07-26,0.3991249470077899,0.0,0.6008750529922101
2018-07-27,0.48497458058830467,0.0,0.5150254194116954
2018-07-30,0.5893538554316211,0.0,0.41064614456837883
2018-07-31,0.7019196286212683,0.0,0.29808037137873156
2018-08-01,0.7009117383434083,0.0,0.29908826165659175
2018-08-02,0.6146179342646255,0.0,0.3853820657353744
2018-08-03,0.6008829953503194,0.0,0.3991170046496806
2018-08-06,0.6046532719930838,0.0,0.39534672800691617
2018-08-07,0.5004842332197231,0.0,0.49951576678027676
2018-08-08,0.5014889872200258,0.0,0.4985110127799742
2018-08-09,0.5,0.0,0.5
2018-08-10,0.49912675327179296,0.0,0.500873246728207
2018-08-13,0.5979927174086844,0.0,0.4020072825913156
2018-08-14,0.6017669784805544,0.0,0.3982330215194457
2018-08-15,0.5965866997883918,0.0,0.4034133002116082
2018-08-16,0.5969467734848924,0.0,0.4030532265151076
2018-08-17,0.6018919332172792,0.0,0.39810806678272087
2018-08-20,0.597784933596805,0.0,0.402215066403195
2018-08-21,0.6003669948752867,0.0,0.39963300512471334
2018-08-22,0.6043822166098934,0.0,0.3956177833901065
2018-08-23,0.6,0.0,0.4000000000000001
2018-08-24,0.604032824005129,0.0,0.39596717599487097
2018-08-27,0.5034288491901155,0.0,0.4965711508098845
2018-08-28,0.4990382680138795,0.0,0.5009617319861205
2018-08-29,0.5073122814510317,0.0,0.49268771854896826
2018-08-30,0.40009989603901525,0.0,0.5999001039609848
2018-08-31,0.4015997445426341,0.0,0.5984002554573659
2018-09-04,0.49919643726309076,0.0,0.5008035627369092
2018-09-05,0.4914040059021784,0.0,0.5085959940978216
2018-09-06,0.592927176648915,0.0,0.40707282335108497
2018-09-07,0.6025902134210218,0.0,0.3974097865789782
2018-09-10,0.5984197953528441,0.0,0.40158020464715594
2018-09-11,0.6084303303024016,0.0,0.3915696696975984
2018-09-12,0.5989004579373136,0.0,0.4010995420626864
2018-09-13,0.6029131401957153,0.0,0.39708685980428476
2018-09-14,0.5972995628720886,0.0,0.4027004371279114
2018-09-17,0.5909876464245633,0.0,0.4090123535754368
2018-09-18,0.7044660262737515,0.0,0.2955339737262484
2018-09-19,0.5993608699948265,0.0,0.4006391300051735
2018-09-20,0.6028393341433548,0.0,0.3971606658566453
2018-09-21,0.5940018952799416,0.0,0.40599810472005826
2018-09-24,0.6070613106641881,0.0,0.3929386893358119
2018-09-25,0.6014212386449175,0.0,0.39857876135508263
2018-09-26,0.5995503251493044,0.0,0.40044967485069566
2018-09-27,0.6030129468330189,0.0,0.39698705316698113
2018-09-28,0.5017632952613378,0.0,0.49823670473866233
2018-10-01,0.4967025445049771,0.0,0.503297455495023
2018-10-02,0.49922806589226976,0.0,0.5007719341077304
2018-10-03,0.49769808991594783,0.0,0.5023019100840521
2018-10-04,0.4883147000681097,0.0,0.5116852999318903
2018-10-05,0.5910543240757928,0.0,0.4089456759242073
2018-10-08,0.6991753710849891,0.0,0.300824628915011
2018-10-09,0.7013462289984983,0.0,0.29865377100150164
2018-10-10,0.6738297391123994,0.0,0.32617026088760065
2018-10-11,0.0,0.49553029299541984,0.50446970700458
2018-10-12,0.0,0.49925823490661664,0.5007417650933833
2018-10-15,0.0,0.4489651277606456,0.5510348722393544
2018-10-16,0.0,0.45337931434981565,0.5466206856501843
2018-10-17,0.0,0.4000085662153429,0.5999914337846571
2018-10-18,0.33674258101687504,0.0,0.6632574189831248
2018-10-19,0.394171299459128,0.0,0.6058287005408719
2018-10-22,0.39933038113486186,0.0,0.6006696188651381
2018-10-23,0.41057249712611427,0.0,0.5894275028738858
2018-10-24,0.3663458937626435,0.0,0.6336541062373564
2018-10-25,0.0,0.0,1.0
2018-10-26,0.0,0.39946701177383237,0.6005329882261677
2018-10-29,0.0,0.445413517800582,0.554586482199418
2018-10-30,0.0,0.0,1.0
2018-10-31,0.0,0.44998172013514215,0.5500182798648579
2018-11-01,0.4081800974901695,0.0,0.5918199025098306
2018-11-02,0.3418879544847377,0.0,0.6581120455152624
2018-11-05,0.34763253348931167,0.0,0.6523674665106883
2018-11-06,0.35535428894880805,0.0,0.644645711051192
2018-11-07,0.36212329722406805,0.0,0.637876702775932
2018-11-08,0.24900820143080907,0.0,0.750991798569191
2018-11-09,0.24553530791698183,0.0,0.7544646920830181
2018-11-12,0.2853392444486986,0.0,0.7146607555513014
2018-11-13,0.39717290633103075,0.0,0.6028270936689692
2018-11-14,0.387178042122664,0.0,0.612821957877336
2018-11-15,0.41390114874960426,0.0,0.5860988512503957
2018-11-16,0.3541261369896311,0.0,0.645873863010369
2018-11-19,0.33070228587166073,0.0,0.6692977141283394
2018-11-20,0.0,0.3988764132976932,0.6011235867023069
2018-11-21,0.0,0.44921689943646415,0.5507831005635359
2018-11-23,0.0,0.45006582848017396,0.5499341715198259
2018-11-26,0.0,0.4515970508909874,0.5484029491090125
2018-11-27,0.0,0.4018505465655799,0.5981494534344202
2018-11-28,0.36570160277857044,0.0,0.6342983972214296
2018-11-29,0.30055086308996387,0.0,0.6994491369100361
2018-11-30,0.30356322348842874,0.0,0.6964367765115712
2018-12-03,0.24725095963890054,0.0,0.7527490403610995
2018-12-04,0.18410123359401045,0.0,0.8158987664059896
2018-12-06,0.36846537953448627,0.0,0.6315346204655137
2018-12-07,0.2810133195356798,0.0,0.7189866804643201
2018-12-10,0.0,0.0,1.0
2018-12-11,0.3417526203488951,0.0,0.658247379651105
2018-12-12,0.34597640259896395,0.0,0.6540235974010361
2018-12-13,0.29598129875282275,0.0,0.7040187012471772
2018-12-14,0.2905651107149285,0.0,0.7094348892850715
2018-12-17,0.3864785471916816,0.0,0.6135214528083185
2018-12-18,0.0,0.0,1.0
2018-12-19,0.0,0.0,1.0
2018-12-20,0.0,0.0,1.0
2018-12-21,0.0,0.0,1.0
2018-12-24,0.0,0.0,1.0
2018-12-26,0.0,0.0,1.0
2018-12-27,0.0,0.0,1.0
2018-12-28,0.0,0.0,1.0
2018-12-31,0.0,0.0,1.0
