,equity
2018-05-24,100000.0
2018-05-25,100145.17879297459
2018-05-29,99236.80039973374
2018-05-30,100476.64122954011
2018-05-31,100362.12888395789
2018-06-01,103078.59545810794
2018-06-04,104772.20778470964
2018-06-05,105496.77350479206
2018-06-06,106696.61829684487
2018-06-07,104851.95761189458
2018-06-08,104801.85096601612
2018-06-11,105405.28932103771
2018-06-12,106672.22522974099
2018-06-13,106580.7559293304
2018-06-14,109026.91622492683
2018-06-15,108224.6976414846
2018-06-18,108039.85557932389
2018-06-19,107294.96148953094
2018-06-20,108980.06295606967
2018-06-21,106902.75616079733
2018-06-22,106232.1220993672
2018-06-25,101512.41185214551
2018-06-26,102276.7936343721
2018-06-27,99678.37641337614
2018-06-28,100208.71476767116
2018-06-29,100062.56074231846
2018-07-02,100035.18987730243
2018-07-03,97590.09362803266
2018-07-05,99225.76801929506
2018-07-06,100606.97243438862
2018-07-09,101914.88862076835
2018-07-10,102079.82193292014
2018-07-11,101017.51944899955
2018-07-12,104394.636543588
2018-07-13,104615.52272647039
2018-07-16,104107.91366884326
2018-07-17,105502.88524328604
2018-07-18,105017.23668229365
2018-07-19,103894.5418521336
2018-07-20,103804.16316192196
2018-07-23,104443.90036464593
2018-07-24,105354.94539438328
2018-07-25,108537.98960598015
2018-07-26,105055.76805952337
2018-07-27,101763.82566752093
2018-07-30,98688.14443582785
2018-07-31,99700.62957783356
2018-08-01,100177.79359237358
2018-08-02,101591.2739356333
2018-08-03,102051.54149413967
2018-08-06,103434.39471861225
2018-08-07,104182.78363791965
2018-08-08,104407.70799464385
2018-08-09,104338.0311399369
2018-08-10,102477.8035610979
2018-08-13,102334.32361003723
2018-08-14,103524.96580516694
2018-08-15,101160.8345512439
2018-08-16,101825.48520977647
2018-08-17,101865.99711073906
2018-08-20,101694.78554135418
2018-08-21,102424.99258615388
2018-08-22,103249.69886918382
2018-08-23,102893.26170508028
2018-08-24,104996.55611259346
2018-08-27,107341.18550250414
2018-08-28,107699.61681224853
2018-08-29,110399.04363966893
2018-08-30,109951.4174973816
2018-08-31,110148.21745559521
2018-09-04,109254.68632113436
2018-09-05,106227.80898979382
2018-09-06,104360.0286634668
2018-09-07,103690.27002483368
2018-09-10,104242.19796782768
2018-09-11,105812.96990162594
2018-09-12,105191.76364907988
2018-09-13,107338.91769199213
2018-09-14,106717.08138313927
2018-09-17,103401.24401304852
2018-09-18,105114.42492398937
2018-09-19,104942.46619614863
2018-09-20,107388.60976413719
2018-09-21,106075.57205384944
2018-09-24,106908.54554368179
2018-09-25,107260.58307572934
2018-09-26,107180.51263283956
2018-09-27,109483.58509841707
2018-09-28,109353.79722546447
2018-10-01,109847.21579934623
2018-10-02,109357.91380257891
2018-10-03,109611.67075898821
2018-10-04,104736.05324545634
2018-10-05,101949.40086022115
2018-10-08,100799.98658110904
2018-10-09,101067.78898273193
2018-10-10,96837.13799138347
2018-10-11,95953.61088439447
2018-10-12,96339.90804923403
2018-10-15,96190.01463217032
2018-10-16,96799.69386823551
2018-10-17,96810.10547248815
2018-10-18,96366.48731427573
2018-10-19,96355.70629140905
2018-10-22,96223.97948640824
2018-10-23,96074.47398996267
2018-10-24,95160.32958412843
2018-10-25,95624.82381306993
2018-10-26,95223.38075064776
2018-10-29,95103.6531770128
2018-10-30,95445.98822203942
2018-10-31,95698.20777991269
2018-11-01,95980.25207202777
2018-11-02,95822.3451407807
2018-11-05,95980.41516448779
