,equity
2018-05-24,100000.0
2018-05-25,100148.11403322732
2018-05-29,99179.3121344143
2018-05-30,100522.91091585634
2018-05-31,100393.54832711132
2018-06-01,103403.57919305976
2018-06-04,105266.50156556754
2018-06-05,106062.79695478255
2018-06-06,107379.21995923942
2018-06-07,105501.56849037934
2018-06-08,105450.97372559799
2018-06-11,106070.72454995912
2018-06-12,107334.54207661888
2018-06-13,107244.51200532171
2018-06-14,109704.50281328583
2018-06-15,108878.3751128371
2018-06-18,108696.32140657998
2018-06-19,107962.21808121035
2018-06-20,109645.082118093
2018-06-21,107487.80371503666
2018-06-22,106811.09602139538
2018-06-25,101975.35339035091
2018-06-26,102755.70840397818
2018-06-27,100142.23523195859
2018-06-28,100698.71809200686
2018-06-29,100533.28048858882
2018-07-02,100540.66727536527
2018-07-03,99425.88626238683
2018-07-05,100585.9260740786
2018-07-06,102113.45858495698
2018-07-09,103555.70346259823
2018-07-10,103744.26463653953
2018-07-11,102601.60381848308
2018-07-12,106410.60297458453
2018-07-13,106648.95030631177
2018-07-16,106103.47420088673
2018-07-17,107598.41539564576
2018-07-18,107077.84349108848
2018-07-19,105873.01302255703
2018-07-20,105763.01804404742
2018-07-23,106461.67810311959
2018-07-24,107496.25525823726
2018-07-25,110919.61841467342
2018-07-26,107189.18650140591
2018-07-27,103782.21367591477
2018-07-30,100412.57043988675
2018-07-31,101518.4686032904
2018-08-01,102026.32153881676
2018-08-02,103548.4968322432
2018-08-03,104041.88606149529
2018-08-06,105507.63783891319
2018-08-07,106302.48726800932
2018-08-08,106524.02327266276
2018-08-09,106452.76824755892
2018-08-10,104539.43063364126
2018-08-13,104338.75940283705
2018-08-14,105705.57274044467
2018-08-15,103015.84233408059
2018-08-16,103758.51070489983
2018-08-17,103798.39938534773
2018-08-20,103620.69134620263
2018-08-21,104434.17516046742
2018-08-22,105356.67214609476
2018-08-23,104959.03013293623
2018-08-24,107177.46713351329
2018-08-27,109650.25455663184
2018-08-28,110027.80073459196
2018-08-29,112997.21935788663
2018-08-30,112502.70721131525
2018-08-31,112733.94707909926
2018-09-04,111738.25079730607
2018-09-05,108445.954133505
2018-09-06,106352.9932555356
2018-09-07,105604.29458073017
2018-09-10,106236.27394229798
2018-09-11,107970.13612066272
2018-09-12,107281.01461258807
2018-09-13,109640.31379162043
2018-09-14,109017.77847722053
2018-09-17,105497.31828052172
2018-09-18,107312.74028122355
2018-09-19,107131.94713027141
2018-09-20,109659.90469605253
2018-09-21,108339.71958160517
2018-09-24,109044.87969895976
2018-09-25,109380.71362654379
2018-09-26,109299.62632979445
2018-09-27,111589.33737945184
2018-09-28,111460.56855828
2018-10-01,111951.30882510959
2018-10-02,111465.13105030432
2018-10-03,111717.63696439742
2018-10-04,106871.01346369073
2018-10-05,104087.52008683547
2018-10-08,102935.29889424823
2018-10-09,103205.64669177694
2018-10-10,98948.00363441884
2018-10-11,98026.80826513252
2018-10-12,99562.9778229804
2018-10-15,99411.15339213674
2018-10-16,100044.01593389871
2018-10-17,100055.57493542903
2018-10-18,99599.84076445576
2018-10-19,99113.10494428565
2018-10-22,99475.71060827054
2018-10-23,99239.6248358204
2018-10-24,96052.09153435752
2018-10-25,97227.73086138305
2018-10-26,96817.17407083648
2018-10-29,96694.69173542013
2018-10-30,97044.7043361199
2018-10-31,97302.5739061229
2018-11-01,97597.26821982207
2018-11-02,97430.04709038687
2018-11-05,97596.74927565166
2018-11-06,97788.06095023421
2018-11-07,98424.70841572926
2018-11-08,98138.64404815043
2018-11-09,96375.2256050322
2018-11-12,95126.87936823184
2018-11-13,95085.39630488295
2018-11-14,94896.27708667246
2018-11-15,95198.32892744668
2018-11-16,95278.93843744289
2018-11-19,94799.15429027303
2018-11-20,94282.65211490236
2018-11-21,94393.31928118222
2018-11-23,94237.51142095975
2018-11-26,94633.83807413967
2018-11-27,94749.7450914802
2018-11-28,95406.56793963195
2018-11-29,95349.56046319535
2018-11-30,95531.47648902168
2018-12-03,95921.82255890747
2018-12-04,94851.59256945658
2018-12-06,94728.03684762758
2018-12-07,94105.37771722136
2018-12-10,94152.15747118469
2018-12-11,94163.98908641361
2018-12-12,94287.57984581226
2018-12-13,94286.34952863226
2018-12-14,93830.35318980565
2018-12-17,93324.02381193725
2018-12-18,93342.65984248437
2018-12-19,93041.75484933789
2018-12-20,92719.13276650998
2018-12-21,92390.83540799146
2018-12-24,91960.28492835825
2018-12-26,92635.41128910038
2018-12-27,92745.99257762951
2018-12-28,92711.50223655162
2018-12-31,92864.71569488704
2019-01-02,92969.40701374484
2019-01-03,92457.80840174154
2019-01-04,93174.61025370326
2019-01-07,93376.16504956203
2019-01-08,93622.73561870652
2019-01-09,93749.8206575625
2019-01-10,93847.72144512509
2019-01-11,93869.01525993427
2019-01-14,93278.53262373415
2019-01-15,94539.35330338303
2019-01-16,94556.58472688639
2019-01-17,95074.38915133842
2019-01-18,95740.32484498755
2019-01-22,94352.00625143747
2019-01-23,94422.08588662687
2019-01-24,94797.00092189977
2019-01-25,95573.62180977047
2019-01-28,94778.26641999779
2019-01-29,94180.30894816398
2019-01-30,95715.01121041548
2019-01-31,96646.6778529786
2019-02-01,96346.27990988962
2019-02-04,97277.5308452799
2019-02-05,97976.32886357389
2019-02-06,97733.37548302217
2019-02-07,96564.41787488584
2019-02-08,96609.66531698419
2019-02-11,96559.57778290441
2019-02-12,97730.43119004408
2019-02-13,97785.4219616329
2019-02-14,97886.90971620427
2019-02-15,98251.79248091592
2019-02-19,98422.273160176
2019-02-20,98410.3721941935
2019-02-21,98079.46071549904
2019-02-22,98718.63428268829
2019-02-25,99032.7005109805
2019-02-26,99115.73225030696
2019-02-27,99019.02114230099
2019-02-28,98848.38729381215
2019-03-01,99415.11098627665
2019-03-04,99382.58086851635
2019-03-05,99460.0429569544
2019-03-06,98983.40275624106
2019-03-07,98046.44444519204
2019-03-08,97873.2668892145
2019-03-11,99311.85343388165
2019-03-12,99738.19977509957
2019-03-13,100347.89129111567
2019-03-14,100217.44104497595
2019-03-15,100932.08604776596
2019-03-18,101201.4604067172
2019-03-19,101520.27387359459
2019-03-20,101888.33572211504
2019-03-21,103338.77393949003
2019-03-22,101203.7949316575
2019-03-25,100997.6462167563
2019-03-26,101345.99503165323
2019-03-27,100754.55009974504
2019-03-28,100938.9280716141
2019-03-29,101566.21516184398
2019-04-01,102785.48384571009
2019-04-02,103159.56811070497
2019-04-03,103761.23385124886
2019-04-04,103716.4688161279
2019-04-05,104428.93311277922
2019-04-08,105017.28668014971
2019-04-09,104207.45802678232
2019-04-10,105341.10268522838
2019-04-11,104795.459959996
2019-04-12,105673.41563824916
2019-04-15,105732.56646574741
2019-04-16,106486.53903762306
2019-04-17,107264.3662957688
2019-04-18,107521.07903903286
2019-04-22,108191.88359714509
2019-04-23,111038.5089664608
2019-04-24,110262.06284402273
2019-04-25,111173.60174898332
2019-04-26,111467.26606763058
2019-04-29,111893.3111660443
2019-04-30,110049.93880914288
2019-05-01,109174.52248694556
2019-05-02,108346.28309709154
2019-05-03,111544.6092246169
2019-05-06,110707.85226627624
2019-05-07,106355.51155353925
2019-05-08,105745.50420230256
2019-05-09,104987.47103581417
2019-05-10,105138.24754226935
2019-05-13,100415.62422664088
2019-05-14,101164.36821754811
2019-05-15,102242.18111876886
2019-05-16,103088.68900660431
2019-05-17,102222.52440634335
2019-05-20,100679.56114498759
2019-05-21,101559.8844971883
2019-05-22,101214.19815325196
2019-05-23,99742.24550849205
2019-05-24,99775.53604536908
2019-05-28,99460.63425780383
2019-05-29,98806.98512474037
2019-05-30,99110.87975553964
2019-05-31,97920.19482565217
2019-06-03,96584.59575225748
2019-06-04,97510.1249258343
2019-06-05,97751.09186565307
2019-06-06,97952.28738581315
2019-06-07,98267.80866158567
2019-06-10,98417.05154397954
2019-06-11,97839.11184750436
2019-06-12,97362.94159617854
2019-06-13,97836.70243312474
2019-06-14,97456.57012694704
2019-06-17,97982.24181933001
2019-06-18,99233.84327240003
2019-06-19,99585.1845758011
2019-06-20,100394.11889839038
2019-06-21,100254.11170272708
2019-06-24,100248.50380889166
2019-06-25,98581.7662449796
2019-06-26,98995.25694238994
2019-06-27,99323.00340959919
2019-06-28,99445.16977040377
2019-07-01,100661.33313979229
2019-07-02,101100.92236533521
2019-07-03,101903.46048170968
2019-07-05,101673.81382710379
2019-07-08,100906.08650536525
2019-07-09,101450.15608607387
2019-07-10,102494.06138781653
2019-07-11,102395.2580776701
2019-07-12,103004.06191829673
2019-07-15,103318.14947183013
2019-07-16,102799.76425502315
2019-07-17,102268.14831207567
2019-07-18,102388.0257926998
2019-07-19,101568.30299174762
2019-07-22,102363.42085158391
2019-07-23,103019.63205325977
2019-07-24,103826.47166349395
2019-07-25,102762.65701467897
2019-07-26,103848.41894902248
2019-07-29,103506.84250863237
2019-07-30,103014.35276459952
2019-07-31,101635.69824985304
2019-08-01,101218.89139797722
2019-08-02,99965.24629132859
2019-08-05,97258.20338533948
2019-08-06,98128.42717550937
2019-08-07,98563.50996407392
2019-08-08,99965.95039022094
2019-08-09,99264.02612668701
2019-08-12,98386.97550163724
2019-08-13,99701.66787842297
2019-08-14,97507.58263263581
2019-08-15,97495.35599304992
2019-08-16,98354.41863908622
2019-08-19,99243.94429645929
2019-08-20,98668.94874509501
2019-08-21,99410.14558311252
2019-08-22,99089.96148694563
2019-08-23,96270.31111863031
2019-08-26,97363.5252951443
2019-08-27,97196.21123384839
2019-08-28,97392.07918521288
2019-08-29,98410.32427847676
2019-08-30,98147.8936082385
2019-09-03,97371.24809245522
2019-09-04,98403.42077390396
2019-09-05,99776.67949466253
2019-09-06,99674.75938730294
2019-09-09,99447.47985862909
2019-09-10,99184.10273544605
2019-09-11,100069.50006839019
2019-09-12,100486.2594860066
2019-09-13,100121.26345944827
2019-09-16,99636.86709635645
2019-09-17,100071.9568339565
2019-09-18,100058.92804994798
2019-09-19,100206.73680242893
2019-09-20,99118.81318465102
2019-09-23,99144.56873596774
2019-09-24,97896.70453777103
2019-09-25,98728.4388607709
2019-09-26,98442.70927470968
2019-09-27,97411.79165452551
2019-09-30,98117.68379112528
2019-10-01,97479.50261247622
2019-10-02,96233.7452266103
2019-10-03,96859.74351307895
2019-10-04,97763.15813800202
2019-10-07,97551.18401853858
2019-10-08,96377.79482582666
2019-10-09,97133.2084565715
2019-10-10,97655.42425595288
2019-10-11,98603.67926397322
2019-10-14,98657.27443749396
2019-10-15,99990.15855872376
2019-10-16,99720.32590460317
2019-10-17,99977.60934799028
2019-10-18,98925.50598594543
2019-10-21,99873.86129799671
2019-10-22,99027.66365796405
2019-10-23,99200.45699378228
2019-10-24,100237.6979147607
2019-10-25,101085.60173563601
2019-10-28,102245.24272858206
2019-10-29,101351.30775527607
2019-10-30,101888.48344387312
2019-10-31,101922.49272437964
2019-11-01,102976.9621583946
2019-11-04,103688.63154980447
2019-11-05,103741.6223398414
2019-11-06,103490.03190613694
2019-11-07,103669.24806051937
2019-11-08,103894.08048861315
2019-11-11,103728.49336239757
2019-11-12,104060.18293170974
2019-11-13,104003.94811040213
2019-11-14,103996.89225086183
2019-11-15,104799.92606533575
2019-11-18,105214.11933780296
2019-11-19,105543.65430111447
2019-11-20,104137.8727961462
2019-11-21,103681.38299885363
2019-11-22,103590.59014909455
2019-11-25,106323.09723772093
2019-11-26,106813.45746866109
2019-11-27,108472.72206142117
2019-11-29,107358.47878019042
2019-12-02,104703.35724241317
2019-12-03,102174.47710436358
2019-12-04,102711.06155819455
2019-12-05,102877.6877811755
2019-12-06,103982.49467114522
2019-12-09,103520.94891519767
2019-12-10,103441.20435998999
2019-12-11,104009.39977188272
2019-12-12,104879.03734674104
2019-12-13,105693.59990952436
2019-12-16,108025.05373964275
2019-12-17,108138.44461937358
2019-12-18,108333.24783534212
2019-12-19,110044.0398695447
2019-12-20,111063.0015565058
2019-12-23,111705.46654885256
2019-12-24,111819.90994795047
2019-12-26,114091.16691507271
2019-12-27,113828.0030194927
2019-12-30,112048.3020194272
2019-12-31,112548.46886223409
2020-01-02,116916.40008844114
2020-01-03,114403.81533289749
2020-01-06,116115.19873100007
2020-01-07,116004.67434948622
2020-01-08,118113.03156799129
2020-01-09,120475.80763275763
2020-01-10,119693.53169206806
2020-01-13,123023.29086941644
2020-01-14,121874.61428827784
2020-01-15,121937.15749189176
2020-01-16,124656.22075613285
2020-01-17,126153.87391782347
2020-01-21,126104.45814440525
2020-01-22,126798.04744587783
2020-01-23,127746.08023236683
2020-01-24,125070.6769318297
2020-01-27,118827.10834706004
2020-01-28,122571.07009464904
2020-01-29,122773.18124672395
2020-01-30,123729.39281463777
2020-01-31,119526.61897125858
2020-02-03,122908.64170505875
2020-02-04,127999.27727807824
2020-02-05,128732.10844405473
2020-02-06,131039.24915300074
2020-02-07,129769.28266328474
2020-02-10,133278.0781406325
2020-02-11,133352.5521304142
2020-02-12,136306.95173037873
2020-02-13,135908.9593173787
2020-02-14,136610.7143094044
2020-02-18,136794.5538906
2020-02-19,139812.22632225108
2020-02-20,136761.90103738112
2020-02-21,130805.08057766713
2020-02-24,119768.74564657178
2020-02-25,117857.60232665512
2020-02-26,118200.61994794592
2020-02-27,114800.20108689029
2020-02-28,114455.20923742215
2020-03-02,116589.38379362636
2020-03-03,114644.33821358006
2020-03-04,116790.27653466587
2020-03-05,115101.35577823516
2020-03-06,113735.04566587758
2020-03-09,109933.12789727692
2020-03-10,112023.31109597563
2020-03-11,110936.83543355031
2020-03-12,108907.09929141795
2020-03-13,110549.15262503595
2020-03-16,108269.83361553583
2020-03-17,109272.47366784155
2020-03-18,108282.68599512786
2020-03-19,108322.15499739719
2020-03-20,107520.218181331
2020-03-23,107064.92239577958
2020-03-24,108637.05160557365
2020-03-25,108920.34331597688
2020-03-26,110041.8469374665
2020-03-27,109436.34262248025
2020-03-30,110076.86631140122
2020-03-31,109703.32469391615
2020-04-01,108519.21921561823
2020-04-02,109099.28003681237
2020-04-03,108727.89502111185
2020-04-06,110429.86698352345
2020-04-07,110457.6327654701
2020-04-08,111366.62944933413
2020-04-09,111792.94423342937
2020-04-13,111534.34485582779
2020-04-14,113659.0839212698
2020-04-15,112848.10950541936
2020-04-16,114328.54197695533
2020-04-17,114979.11510322217
2020-04-20,114051.71542419588
2020-04-21,111124.5652254145
2020-04-22,113148.8166285394
2020-04-23,112946.1633327485
2020-04-24,114098.46664038526
2020-04-27,114519.27136959389
2020-04-28,112881.22015444319
2020-04-29,115768.50524448405
2020-04-30,115938.1716669057
2020-05-01,112991.9894439114
2020-05-04,113774.64496165515
2020-05-05,114575.95245779492
2020-05-06,115028.10643023805
2020-05-07,116129.74514232969
2020-05-08,117315.6748314968
2020-05-11,118348.19888681201
2020-05-12,116054.29871943171
2020-05-13,115018.27156186577
2020-05-14,115708.95082060175
2020-05-15,116402.4053769047
2020-05-18,118068.7082792327
2020-05-19,117745.57446064713
2020-05-20,119764.84536989422
2020-05-21,118552.96761530466
2020-05-22,118846.53110523107
2020-05-26,118628.49150178954
2020-05-27,119126.17748145864
2020-05-28,118951.22188828544
2020-05-29,120481.95058071744
2020-06-01,120981.01115852842
2020-06-02,121743.55171820644
2020-06-03,122281.02614399152
2020-06-04,121395.29216417234
2020-06-05,123947.25239210014
2020-06-08,125014.639695997
2020-06-09,126006.9890285218
2020-06-10,127602.0358338659
2020-06-11,121505.88653424534
2020-06-12,122969.80310831305
2020-06-15,123840.75816036409
2020-06-16,124998.2960261355
2020-06-17,125140.36268290044
2020-06-18,125361.86565515974
2020-06-19,125318.74324154748
2020-06-22,126235.82430044377
2020-06-23,126869.54099047257
2020-06-24,125196.7786530722
2020-06-25,125889.8165797703
2020-06-26,123819.86613772105
2020-06-29,124523.68478166216
2020-06-30,126186.27661279312
2020-07-01,127401.7505035922
2020-07-02,128079.27947422506
2020-07-06,132383.59296981845
2020-07-07,130604.15061223593
2020-07-08,133826.15542166485
2020-07-09,135927.38260064565
2020-07-10,137733.93670734693
2020-07-13,131704.98534085392
2020-07-14,132484.2575754237
2020-07-15,132675.82361909194
2020-07-16,131094.768316481
2020-07-17,131502.47999929768
2020-07-20,139532.69358854467
2020-07-21,136112.10504864523
2020-07-22,137294.76329895243
