date,score,prev_w,new_w,equity_open,cost,trail_active,event,pos_return
2018-05-25,0.7547946157444642,[0. 0. 1.],[0.5 0.  0.5],100007.38095243771,15.001107142865656,False,,
2018-05-29,0.7342473521833535,[0.49707831 0.         0.50292169],[0.5 0.  0.5],99418.79073592607,0.08714125857398027,False,,
2018-05-30,0.6578308756773196,[0.50274973 0.         0.49725027],[0.5 0.  0.5],99975.77613094714,0.0824720089066315,False,,
2018-05-31,0.7032199320148554,[0.50236172 0.         0.49763828],[0.5 0.  0.5],100457.6498403107,0.07117584176069719,False,,
2018-06-01,0.6924232674557237,[0.50317916 0.         0.49682084],[0.5 0.  0.5],101107.90940134409,0.09643142200400175,False,,
2018-06-04,0.7376737803547063,[0.50971749 0.         0.49028251],[0.5 0.  0.5],103119.43220589234,0.30061866279010263,False,,
2018-06-05,0.7507110369302911,[0.50655775 0.         0.49344225],[0.4 0.  0.6],104497.29679079121,3.3404989391306454,False,,
2018-06-06,0.7488259091767852,[0.40128871 0.         0.59871129],[0.4 0.  0.6],104726.78524601017,0.04048884033042187,False,,
2018-06-07,0.7690375709145431,[0.40347452 0.         0.59652548],[0.4 0.  0.6],105344.67703296986,0.10980651812584935,False,,
2018-06-08,0.7636413694830161,[0.39025665 0.         0.60974335],[0.5 0.  0.5],103668.97611410907,3.413094072989364,False,,
2018-06-11,0.7669751018215353,[0.5031688 0.        0.4968312],[0.5 0.  0.5],104334.52736029154,0.09918458402651367,False,,
2018-06-12,0.774975789672681,[0.50358094 0.         0.49641906],[0.5 0.  0.5],105094.839020089,0.11290152716308069,False,,
2018-06-13,0.7751937964909438,[0.50381297 0.         0.49618703],[0.4 0.  0.6],105910.26534402673,3.2984577795922387,False,,
2018-06-14,0.7593793459837873,[0.40222594 0.         0.59777406],[0.5 0.  0.5],106309.32802395917,3.118288362360824,False,,
2018-06-15,0.7793188471049476,[0.50102115 0.         0.49897885],[0.4 0.  0.6],106531.72208543359,3.228586999594148,False,,
2018-06-18,0.7733052750134624,[0.39558227 0.         0.60441773],[0.4 0.  0.6],105757.79272480044,0.14016275208935633,False,,
2018-06-19,0.7639672212130301,[0.39482598 0.         0.60517402],[0.5 0.  0.5],104861.2968588726,3.3086053727770235,False,,
2018-06-20,0.7378338817631386,[0.51083043 0.         0.48916957],[0.5 0.  0.5],107187.66214443583,0.3482664380338224,False,,
2018-06-21,0.7545732367545036,[0.50361362 0.         0.49638638],[0.5 0.  0.5],107975.71016588749,0.11705486193447555,False,,
2018-06-22,0.7185874933445944,[0.49419221 0.         0.50580779],[0.5 0.  0.5],106743.80055704937,0.18598360850973147,False,,
2018-06-25,0.7333656842054094,[0.48891043 0.         0.51108957],[0.6 0.  0.4],104435.2523741672,3.4805000592098776,False,,
2018-06-26,0.6613399051474099,[0.59222656 0.         0.40777344],[0.7 0.  0.3],102448.50812180137,3.312368380016378,False,,
2018-06-27,0.6811436737782488,[0.70290213 0.         0.29709787],[0.7 0.  0.3],103453.67785322879,0.09007078628179252,False,,
2018-06-28,0.6507886103392756,[0.68758177 0.         0.31241823],[0.8 0.  0.2],99348.84935649406,3.3505865559749624,False,,
2018-06-29,0.6656718981578862,[0.80684395 0.         0.19315605],[0.7 0.  0.3],102873.20567885082,3.297413895525974,False,,
2018-07-02,0.6852083506606547,[0.69248182 0.         0.30751818],[0.7 0.  0.3],100362.44007473778,0.22636283507331528,False,,
2018-07-03,0.69667121604923,[0.71214759 0.         0.28785241],[0.7 0.  0.3],104605.4411179173,0.3812112294232082,False,,
2018-07-05,0.679578717394323,[0.69443924 0.         0.30556076],[0.7 0.  0.3],102709.27710140671,0.17134260096640092,False,,
2018-07-06,0.7141905617043208,[0.70472964 0.         0.29527036],[0.6 0.  0.4],104362.20916817289,3.278944959071906,False,,
2018-07-09,0.7521662092775391,[0.61289593 0.         0.38710407],[0.6 0.  0.4],107843.67958736725,0.4172232391313188,False,,
2018-07-10,0.7699414979918003,[0.60369695 0.         0.39630305],[0.5 0.  0.5],108857.5597140801,3.386459045591336,False,,
2018-07-11,0.7712316261439063,[0.49375842 0.         0.50624158],[0.5 0.  0.5],107520.33868300843,0.20132895258378836,False,,
2018-07-12,0.7499094655562687,[0.50509079 0.         0.49490921],[0.5 0.  0.5],108634.39882861389,0.16591041964141132,False,,
2018-07-13,0.7770370114835928,[0.5090149 0.        0.4909851],[0.4 0.  0.6],110637.31208164542,3.618334529835103,False,,
2018-07-16,0.7834188368035447,[0.40082861 0.         0.59917139],[0.4 0.  0.6],110795.16885337372,0.02754193513653326,False,,
2018-07-17,0.7722624446207925,[0.39061395 0.         0.60938605],[0.5 0.  0.5],109097.01239016965,3.5801072988181164,False,,
2018-07-18,0.7800225551602504,[0.51240281 0.         0.48759719],[0.4 0.  0.6],111877.16408443969,3.7725921955580484,False,,
2018-07-19,0.7823549728008045,[0.39617563 0.         0.60382437],[0.4 0.  0.6],111173.47796720524,0.12755066201837473,False,,
2018-07-20,0.7703977626700776,[0.40071946 0.         0.59928054],[0.5 0.  0.5],111315.42256688129,3.3154365876707477,False,,
2018-07-23,0.7700713333411405,[0.49537303 0.         0.50462697],[0.5 0.  0.5],110299.93728679395,0.15310622830816317,False,,
2018-07-24,0.7755887974140078,[0.51210726 0.         0.48789274],[0.5 0.  0.5],113045.53174700856,0.4106015660325496,False,,
2018-07-25,0.7711187790981456,[0.49573778 0.         0.50426222],[0.5 0.  0.5],112098.33781862719,0.14333635879466405,False,,
2018-07-26,0.7788730791573485,[0.49960172 0.         0.50039828],[0.4 0.  0.6],112017.65348135687,3.34714531282685,False,,
2018-07-27,0.7793322536318081,[0.40331234 0.         0.59668766],[0.5 0.  0.5],112644.8151600455,3.267409065278956,False,,
2018-07-30,0.7531871740242821,[0.48499503 0.         0.51500497],[0.6 0.  0.4],109368.11208953094,3.7733628060478686,False,,
2018-07-31,0.7247624334490871,[0.59189086 0.         0.40810914],[0.7 0.  0.3],107199.53867390062,3.4767750886728828,False,,
2018-08-01,0.747292891140866,[0.70383203 0.         0.29616797],[0.7 0.  0.3],108591.59322935392,0.12483787623305316,False,,
2018-08-02,0.7407062409861581,[0.69621072 0.         0.30378928],[0.6 0.  0.4],107245.38293412575,3.095446675685861,False,,
2018-08-03,0.7653472430176061,[0.61583925 0.         0.38416075],[0.6 0.  0.4],111672.67784737595,0.5306433617697095,False,,
2018-08-06,0.7769723563980301,[0.60057043 0.         0.39942957],[0.6 0.  0.4],111840.32586493547,0.019139165916366562,False,,
2018-08-07,0.7830105297409706,[0.60649425 0.         0.39350575],[0.5 0.  0.5],113694.94815633577,3.632357312883181,False,,
2018-08-08,0.7854727655981377,[0.49964436 0.         0.50035564],[0.5 0.  0.5],113619.56047326737,0.01212218071103574,False,,
2018-08-09,0.7841835645535166,[0.50124619 0.         0.49875381],[0.5 0.  0.5],113912.51621310042,0.042587155246191756,False,,
2018-08-10,0.7773888648785575,[0.49495232 0.         0.50504768],[0.5 0.  0.5],112782.95199913139,0.1707877352283535,False,,
2018-08-13,0.742249848040856,[0.50047245 0.         0.49952755],[0.6 0.  0.4],112898.40897291279,3.3709507571171686,False,,
2018-08-14,0.7144333463666448,[0.60059735 0.         0.39940265],[0.6 0.  0.4],113072.83596981349,0.020263250855165865,False,,
2018-08-15,0.7360516259365381,[0.59625164 0.         0.40374836],[0.6 0.  0.4],112032.09607432254,0.1259810084091374,False,,
2018-08-16,0.7092998729110409,[0.60181179 0.         0.39818821],[0.6 0.  0.4],112550.74728887981,0.061175622622872294,False,,
2018-08-17,0.7388639051290994,[0.59499068 0.         0.40500932],[0.6 0.  0.4],111167.50091149397,0.16706217489884975,False,,
2018-08-20,0.7587470890669893,[0.60360075 0.         0.39639925],[0.6 0.  0.4],112186.01968807253,0.12118621097632229,False,,
2018-08-21,0.7592381012340604,[0.59987087 0.         0.40012913],[0.6 0.  0.4],112158.56372107548,0.004344871309270838,False,,
2018-08-22,0.7497978978269345,[0.59872783 0.         0.40127217],[0.6 0.  0.4],111812.00568909079,0.04267331234863712,False,,
2018-08-23,0.7548358015048692,[0.60316741 0.         0.39683259],[0.6 0.  0.4],112713.51705746738,0.10710297379155898,False,,
2018-08-24,0.7561975703310159,[0.60251497 0.         0.39748503],[0.6 0.  0.4],113435.72040155754,0.08558608049730361,False,,
2018-08-27,0.7650999529483037,[0.60782721 0.         0.39217279],[0.5 0.  0.5],115709.05166127019,3.742975303756439,False,,
2018-08-28,0.765846947195688,[0.50547885 0.         0.49452115],[0.5 0.  0.5],116996.78195415145,0.192302222791608,False,,
2018-08-29,0.7579077268524456,[0.50029917 0.         0.49970083],[0.5 0.  0.5],117076.28906834516,0.010507776025986916,False,,
2018-08-30,0.7689726231080568,[0.50576998 0.         0.49423002],[0.4 0.  0.6],118452.88247939758,3.758627546429567,False,,
