param,value,cagr,max_drawdown,sharpe,total_return
vix_low,16.0,0.1799613357891312,-0.3953762168681034,0.7425801833058169,2.7544704314577237
vix_low,18.0,0.171743428617269,-0.4004473734088966,0.7078648435787732,2.5504492259971103
vix_low,20.0,0.16460475795317242,-0.36565399967346945,0.6709109432853951,2.3811629896346824
vix_low,22.0,0.18773207473539433,-0.3828198510798184,0.732987625140609,2.9567511931012076
vix_low,24.0,0.16607684891681673,-0.38908351572348143,0.6760570651560591,2.4154820414242573
vix_high,26.0,0.15992909304615677,-0.3983575348303263,0.6721347002413014,2.274151146526697
vix_high,28.0,0.16137360835620718,-0.3628704544120007,0.6663317840976347,2.3068908040139346
vix_high,30.0,0.16460475795317242,-0.36565399967346945,0.6709109432853951,2.3811629896346824
vix_high,32.0,0.18803626235254534,-0.37083890072090564,0.7340442820587717,2.9648597473602405
vix_high,34.0,0.18072920194835995,-0.36693668865234685,0.7135221228416688,2.7740474981881222
momentum_threshold,0.0,0.1642808897597101,-0.37773102153701776,0.6604354229553735,2.373653228517223
momentum_threshold,0.02,0.16662661596183637,-0.3680328050879593,0.6671364843246252,2.4283767737527064
momentum_threshold,0.05,0.16460475795317242,-0.36565399967346945,0.6709109432853951,2.3811629896346824
momentum_threshold,0.08,0.17266804081026743,-0.3706312340592376,0.6954295537676101,2.5729088128334547
momentum_threshold,0.1,0.18405888849441276,-0.36156501888403225,0.7284182836332835,2.859976389362837
irx_lookback_days,30.0,0.18180695803993707,-0.39986990708660264,0.7231905334758466,2.8016759701931795
irx_lookback_days,45.0,0.16528611364631507,-0.38244121043421697,0.6727191136150873,2.3970098340879527
irx_lookback_days,60.0,0.16460475795317242,-0.36565399967346945,0.6709109432853951,2.3811629896346824
irx_lookback_days,90.0,0.18199415989523393,-0.36565399967346945,0.7314294629041609,2.8064929178733786
irx_lookback_days,120.0,0.16547483853546296,-0.3613144331890852,0.6762575573526155,2.4014106381620346
trend_sma_days,150.0,0.16231391258286543,-0.3802257613256741,0.6652768396552564,2.328356199407313
trend_sma_days,175.0,0.15433227076450629,-0.37255495134595407,0.6412399749968233,2.149962556778999
trend_sma_days,200.0,0.16460475795317242,-0.36565399967346945,0.6709109432853951,2.3811629896346824
trend_sma_days,225.0,0.14230009308718183,-0.372762379230128,0.6079435875027522,1.8968453470743225
trend_sma_days,250.0,0.16289457308621946,-0.3738553622784201,0.6693470896070779,2.341672394264329
