date,score,prev_w,new_w,equity_open,cost,trail_active,max_drift,event,sleeve_ret
2018-05-25,0.7547949195127602,[0. 0. 0. 1.],[0.75479492 0.         0.         0.24520508],100007.38095243771,22.64551891700315,False,0.7547949195127602,,
2018-05-29,0.7342471201819466,[0.75262551 0.         0.         0.24737449],[0.68798109 0.04626603 0.         0.26575288],99115.18176542949,1.9221728280716373,False,0.0646444131576378,,
2018-05-30,0.6578310543741251,[0.69008646 0.04626323 0.         0.26365031],[0.41530468 0.24252638 0.         0.34216895],99910.96750432998,8.236114121092825,False,0.2747817824483212,,
2018-05-31,0.703220039614387,[0.41701225 0.24264235 0.         0.3403454 ],[0.57163362 0.13158642 0.         0.29677996],100445.48695222239,4.659305528640296,False,0.15462136627590278,,
2018-06-01,0.692423237492305,[0.57405384 0.13167584 0.         0.29427033],[0.53295328 0.15946995 0.         0.30757676],101304.93645214709,1.2491066288528605,False,0.041100551549229314,,
2018-06-04,0.7376736443364048,[0.54039086 0.15963124 0.         0.2999779 ],[0.70130233 0.03637131 0.         0.26232636],103877.55164956737,5.014527114937952,False,0.16091147815569573,,
2018-06-05,0.7507110293217026,[0.70634364 0.03628506 0.         0.2573713 ],[0.75071103 0.         0.         0.24928897],105880.18503698587,1.409288149414959,False,0.044367387184632956,,
2018-06-20,0.7378335507196199,[0.75774322 0.         0.         0.24225678],[0.70192629 0.03590726 0.         0.26216645],109042.04698552909,1.825917755383662,False,0.055816931965274486,,
2018-06-21,0.7545730457869295,[0.70469607 0.03588015 0.         0.25942378],[0.75457305 0.         0.         0.24542695],110201.26597093455,1.6489518342289893,False,0.04987697796090951,,
2018-06-22,0.7185876411322676,[0.75024518 0.         0.         0.24975482],[0.62829751 0.09029013 0.         0.28141236],108298.14839258147,3.9620119939760516,False,0.12194766801286794,,
2018-06-25,0.7333657435777984,[0.61956051 0.09035185 0.         0.29008765],[0.68456977 0.04879598 0.         0.26663426],105063.36352052813,2.0490274975295946,False,0.06500926135966956,,
2018-06-26,0.6613397994092,[0.67825578 0.04890045 0.         0.27284377],[0.42680172 0.23453808 0.         0.3386602 ],102677.8260021694,7.745626873415605,False,0.2514540602386067,,
2018-06-27,0.6811437922958566,[0.42928297 0.23477594 0.         0.33594109],[0.49353988 0.18760391 0.         0.31885621],103508.86876982485,1.9953479716872269,False,0.06425690846273696,,
2018-06-28,0.6507888121596821,[0.48252787 0.18696277 0.         0.33050936],[0.19626334 0.12913106 0.         0.67460559],99864.86049630729,10.308936662199429,True,0.34409623201348255,,
2018-06-29,0.6656721527882641,[0.20240614 0.13138061 0.         0.66621326],[0.44113335 0.2245388  0.         0.33432785],101119.96974223561,10.068072815483452,False,0.3318854110006798,,
2018-07-02,0.685208243145731,[0.434697   0.22393059 0.         0.34137241],[0.25381243 0.08879169 0.         0.65739588],99030.78601542453,9.388815879619548,True,0.3160234730156605,,
2018-07-06,0.7141904673899172,[0.26346905 0.09052778 0.         0.64600317],[0.30594558 0.05114965 0.         0.64290477],100790.65346650807,1.284371187067867,True,0.04247653073951785,,
2018-07-09,0.7521664405062789,[0.31695422 0.05204298 0.         0.6310028 ],[0.75216644 0.         0.         0.24783356],102698.21954805928,13.408656198557319,False,0.4352122252805147,,
2018-07-31,0.7247624684297627,[0.74824701 0.         0.         0.25175299],[0.3257988  0.03658243 0.         0.63761877],101210.77156352205,12.826892574547758,True,0.42244820310446,,
2018-08-01,0.747293157693358,[0.32968172 0.03681009 0.         0.63350819],[0.36960097 0.00404561 0.         0.62635342],101862.59971781404,1.2198835800861074,True,0.03991925016199943,,
2018-08-03,0.7653471785400033,[0.38091745 0.00410037 0.         0.61498218],[0.76534718 0.         0.         0.23465282],103761.06708141715,11.966651531567711,False,0.3844297245638373,,
2018-08-13,0.7422500212018114,[0.76798969 0.         0.         0.23201031],[0.71924033 0.02300969 0.         0.25774998],104980.52737727763,1.535319851687498,False,0.04874935349263665,,
2018-08-14,0.7144333231582426,[0.71970618 0.0230184  0.         0.25727543],[0.61279325 0.10164008 0.         0.28556668],105180.9547720882,3.373561227576945,False,0.10691293035217131,,
2018-08-15,0.7360513533582894,[0.60973851 0.10165253 0.         0.28860896],[0.69498367 0.04106768 0.         0.26394865],104077.27982921443,2.6616253258482416,False,0.08524516046204111,,
2018-08-16,0.7092999870741649,[0.69643189 0.04106008 0.         0.26250802],[0.59382591 0.11547407 0.         0.29070001],104654.15985726964,3.2214428237224997,False,0.10260598107506336,,
2018-08-17,0.7388639115680204,[0.58978216 0.11542057 0.         0.29479728],[0.7059517  0.03291222 0.         0.26113609],103204.69054952523,3.5967723985507103,False,0.11616953904579597,,
2018-08-20,0.7587470040559214,[0.70881227 0.03290375 0.         0.25828398],[0.758747 0.       0.       0.241253],104348.95553233507,1.5631913147615941,False,0.04993473762425282,,
2018-08-31,0.7464291207262739,[0.77542311 0.         0.         0.22457689],[0.73576749 0.01066163 0.         0.25357088],112177.74082878302,1.3345434624300472,False,0.03965562307846682,,
2018-09-06,0.7304174753047339,[0.72728203 0.01070008 0.         0.26201789],[0.6732038  0.05721367 0.         0.26958252],108586.79622743002,1.761654413466235,False,0.05407822665586126,,
2018-09-07,0.7191968896873351,[0.66334932 0.05733557 0.         0.27931511],[0.63058289 0.088614   0.         0.28080311],104810.09677405964,1.0302759107471668,False,0.03276643321136463,,
2018-09-11,0.7325521632313458,[0.63176249 0.08861666 0.         0.27962085],[0.68142636 0.0511258  0.         0.26744784],105269.62848200978,1.5684291654013547,False,0.04966387070415068,,
2018-09-12,0.7464272766674532,[0.68744623 0.05099257 0.         0.2615612 ],[0.73576016 0.01066711 0.         0.25357272],107646.20308586504,1.560243609878356,False,0.04831393847472143,,
